cluster1 cluster2
SpCNY646_RS.contig_14.region002 SaCNY486_PV.contig_0.region001
SpCNY331_SC.contig_38.region001 SaCNY486_PV.contig_38.region001
SpCNY363_SC.contig_73.region001 SaCNY486_PV.contig_61.region001
SpCNY646_RS.contig_5.region001 SaCNY486_PV.contig_16.region001
SpCNR942_PL.contig_0.region001 SaCNY679_YU.contig_18.region002
SpCNY202_SC.contig_6.region001 SaCNY679_YU.contig_25.region001
SpCNT569_FJ.contig_7.region001 SaCNY679_YU.contig_18.region002
SpCNY646_RS.contig_5.region001 SaCNY679_YU.contig_25.region001
SpCNT131_FJ.contig_36.region001 SaCNY685_YU.contig_38.region001
SpCNT001_FJ.contig_48.region001 SaCNY685_YU.contig_38.region001
SpCNT851_HI.contig_35.region001 SaCNY685_YU.contig_38.region001
SpCNY331_SC.contig_18.region001 SaCNY685_YU.contig_38.region001
SpCNH732_RS.contig_8.region001 SaCNY685_YU.contig_38.region001
SpCNR510_GU.contig_37.region001 SaCNY685_YU.contig_38.region001
SpCNY666_MD.contig_29.region001 SaCNY685_YU.contig_38.region001
SpCNT603_FJ.contig_35.region001 SaCNY685_YU.contig_38.region001
SpCNT796_HI.contig_37.region001 SaCNY685_YU.contig_38.region001
SpCNQ768_GU.contig_6.region001 SaCNY685_YU.contig_38.region001
SpCNY363_SC.contig_39.region001 SaCNY685_YU.contig_38.region001
SpCNY330_SC.contig_37.region001 SaCNY685_YU.contig_38.region001
SpDSM45544_FJ.contig_0.region020 SaCNY685_YU.contig_38.region001
SpCNR114_GU.contig_33.region001 SaCNY685_YU.contig_38.region001
SpCNT003_FJ.contig_48.region001 SaCNY685_YU.contig_38.region001
SpCNR894_PL.contig_48.region001 SaCNY685_YU.contig_38.region001
SpCNS103_PL.contig_47.region001 SaCNY685_YU.contig_38.region001
SpCNY498_PV.contig_5.region001 SaCNY685_YU.contig_38.region001
SpCNY239_FJ.contig_45.region001 SaCNY685_YU.contig_38.region001
SpCNR909_PL.contig_53.region001 SaCNY685_YU.contig_38.region001
SpCNY646_RS.contig_5.region001 SaCNY685_YU.contig_1.region001
SpCNH732_RS.contig_8.region001 SaCNY690_YU.contig_39.region001
SpCNT851_HI.contig_35.region001 SaCNY690_YU.contig_39.region001
SpCNY331_SC.contig_18.region001 SaCNY690_YU.contig_39.region001
SpCNT131_FJ.contig_36.region001 SaCNY690_YU.contig_39.region001
SpCNY330_SC.contig_37.region001 SaCNY690_YU.contig_39.region001
SpCNT001_FJ.contig_48.region001 SaCNY690_YU.contig_39.region001
SpCNT796_HI.contig_37.region001 SaCNY690_YU.contig_39.region001
SpCNR510_GU.contig_37.region001 SaCNY690_YU.contig_39.region001
SpCNY666_MD.contig_29.region001 SaCNY690_YU.contig_39.region001
SpCNT603_FJ.contig_35.region001 SaCNY690_YU.contig_39.region001
SpCNQ768_GU.contig_6.region001 SaCNY690_YU.contig_39.region001
SpCNR114_GU.contig_33.region001 SaCNY690_YU.contig_39.region001
SpCNY363_SC.contig_39.region001 SaCNY690_YU.contig_39.region001
SpCNY239_FJ.contig_45.region001 SaCNY690_YU.contig_39.region001
SpCNS103_PL.contig_47.region001 SaCNY690_YU.contig_39.region001
SpDSM45544_FJ.contig_0.region020 SaCNY690_YU.contig_39.region001
SpCNR894_PL.contig_48.region001 SaCNY690_YU.contig_39.region001
SpCNY498_PV.contig_5.region001 SaCNY690_YU.contig_39.region001
SpCNT003_FJ.contig_48.region001 SaCNY690_YU.contig_39.region001
SpCNR909_PL.contig_53.region001 SaCNY690_YU.contig_39.region001
SpCNR510_GU.contig_37.region001 SaCNY694_YU.contig_36.region001
SpCNT603_FJ.contig_35.region001 SaCNY694_YU.contig_36.region001
SpCNY331_SC.contig_18.region001 SaCNY694_YU.contig_36.region001
SpCNT001_FJ.contig_48.region001 SaCNY694_YU.contig_36.region001
SpCNT851_HI.contig_35.region001 SaCNY694_YU.contig_36.region001
SpCNR894_PL.contig_48.region001 SaCNY694_YU.contig_36.region001
SpCNY330_SC.contig_37.region001 SaCNY694_YU.contig_36.region001
SpCNT131_FJ.contig_36.region001 SaCNY694_YU.contig_36.region001
SpCNT796_HI.contig_37.region001 SaCNY694_YU.contig_36.region001
SpCNR114_GU.contig_33.region001 SaCNY694_YU.contig_36.region001
SpCNQ768_GU.contig_6.region001 SaCNY694_YU.contig_36.region001
SpCNY666_MD.contig_29.region001 SaCNY694_YU.contig_36.region001
SpCNH732_RS.contig_8.region001 SaCNY694_YU.contig_36.region001
SpCNY363_SC.contig_39.region001 SaCNY694_YU.contig_36.region001
SpCNR909_PL.contig_53.region001 SaCNY694_YU.contig_36.region001
SpCNY239_FJ.contig_45.region001 SaCNY694_YU.contig_36.region001
SpCNS103_PL.contig_47.region001 SaCNY694_YU.contig_36.region001
SpCNY498_PV.contig_5.region001 SaCNY694_YU.contig_36.region001
SpCNT003_FJ.contig_48.region001 SaCNY694_YU.contig_36.region001
SpDSM45544_FJ.contig_0.region020 SaCNY694_YU.contig_36.region001
SpCNR942_PL.contig_0.region001 SaDSM45545_FJ.contig_0.region014
SaCNH905_BA.contig_15.region001 SpCNH732_RS.contig_8.region001
SaCNB458_BA.contig_27.region001 SpCNH732_RS.contig_8.region001
SaCNB527_BA.contig_24.region001 SpCNH732_RS.contig_8.region001
SaCNB458_BA.contig_27.region001 SpCNQ768_GU.contig_6.region001
SaCNB527_BA.contig_24.region001 SpCNQ768_GU.contig_6.region001
SaCNH905_BA.contig_15.region001 SpCNQ768_GU.contig_6.region001
SaCNB527_BA.contig_24.region001 SpCNR114_GU.contig_33.region001
SaCNH905_BA.contig_15.region001 SpCNR114_GU.contig_33.region001
SaCNB458_BA.contig_27.region001 SpCNR114_GU.contig_33.region001
SaCNB458_BA.contig_27.region001 SpCNR510_GU.contig_37.region001
SaCNB527_BA.contig_24.region001 SpCNR510_GU.contig_37.region001
SaCNH905_BA.contig_15.region001 SpCNR510_GU.contig_37.region001
SaCNB527_BA.contig_24.region001 SpCNR894_PL.contig_48.region001
StCNB536_BA.contig_35.region001 SpCNR894_PL.contig_17.region001
SaCNH905_BA.contig_15.region001 SpCNR894_PL.contig_48.region001
SaCNB458_BA.contig_27.region001 SpCNR894_PL.contig_48.region001
StCNB536_BA.contig_35.region001 SpCNR909_PL.contig_1.region002
SaCNB527_BA.contig_24.region001 SpCNR909_PL.contig_53.region001
StCNB536_BA.contig_37.region001 SpCNR909_PL.contig_33.region001
SaCNB458_BA.contig_27.region001 SpCNR909_PL.contig_53.region001
SaCNH905_BA.contig_15.region001 SpCNR909_PL.contig_53.region001
SaCNS243_PL.contig_18.region001 SpCNR909_PL.contig_33.region001
SaCNS299_PL.contig_33.region001 SpCNR909_PL.contig_33.region001
SaCNH877_BA.contig_21.region001 SpCNR942_PL.contig_0.region001
SaCNP193_SC.contig_19.region001 SpCNR942_PL.contig_0.region001
StCNB476_BA.contig_24.region001 SpCNR942_PL.contig_27.region001
SaCNP193_SC.contig_19.region001 SpCNR942_PL.contig_27.region001
SaCNH905_BA.contig_11.region002 SpCNR942_PL.contig_0.region001
StCNB440_BA.contig_0.region002 SpCNR942_PL.contig_27.region001
StCNB536_BA.contig_18.region001 SpCNR942_PL.contig_0.region001
SaCNP105_SC.contig_36.region001 SpCNR942_PL.contig_27.region001
StCNH898_BA.contig_19.region001 SpCNR942_PL.contig_0.region001
SaCNH964_SC.contig_35.region001 SpCNR942_PL.contig_0.region001
StCNB440_BA.contig_0.region013 SpCNR942_PL.contig_0.region001
SaCNS848_FJ.contig_29.region001 SpCNR942_PL.contig_0.region001
SaCNH643_BA.contig_17.region001 SpCNR942_PL.contig_0.region001
SaCNH643_BA.contig_13.region001 SpCNR942_PL.contig_18.region001
SaCNP105_SC.contig_31.region001 SpCNR942_PL.contig_0.region001
StCNH898_BA.contig_23.region001 SpCNR942_PL.contig_27.region001
SaCNH964_SC.contig_40.region001 SpCNR942_PL.contig_27.region001
SaCNH941_SC.contig_18.region001 SpCNR942_PL.contig_0.region001
SaCNH941_SC.contig_18.region001 SpCNR942_PL.contig_27.region001
SaCNH646_BA.contig_13.region001 SpCNR942_PL.contig_0.region001
SaCNH713_RS.contig_9.region002 SpCNR942_PL.contig_0.region001
StCNB476_BA.contig_14.region001 SpCNR942_PL.contig_0.region001
SpCNH732_RS.contig_5.region001 SpCNS055_PL.contig_5.region001
SpCNR894_PL.contig_8.region001 SpCNS055_PL.contig_5.region001
SpCNH732_RS.contig_2.region002 SpCNS055_PL.contig_1.region001
SpCNR114_GU.contig_6.region001 SpCNS055_PL.contig_8.region001
SpCNH732_RS.contig_23.region001 SpCNS055_PL.contig_0.region004
SpCNR510_GU.contig_50.region001 SpCNS055_PL.contig_0.region004
SpCNR909_PL.contig_8.region002 SpCNS055_PL.contig_0.region004
SpCNQ768_GU.contig_1.region002 SpCNS055_PL.contig_1.region001
SpCNR909_PL.contig_7.region001 SpCNS055_PL.contig_8.region001
StCNH898_BA.contig_19.region001 SpCNS055_PL.contig_17.region001
SpCNQ768_GU.contig_12.region001 SpCNS055_PL.contig_5.region001
SpCNR510_GU.contig_1.region002 SpCNS055_PL.contig_1.region001
SpCNR114_GU.contig_8.region001 SpCNS055_PL.contig_1.region001
SpCNQ768_GU.contig_26.region001 SpCNS055_PL.contig_0.region004
StCNB476_BA.contig_14.region001 SpCNS055_PL.contig_17.region001
SpCNR114_GU.contig_5.region001 SpCNS055_PL.contig_5.region001
SpCNQ768_GU.contig_4.region001 SpCNS055_PL.contig_8.region001
SpCNR510_GU.contig_10.region001 SpCNS055_PL.contig_8.region001
SpCNR909_PL.contig_5.region001 SpCNS055_PL.contig_1.region001
SpCNR909_PL.contig_12.region001 SpCNS055_PL.contig_5.region001
StCNB536_BA.contig_18.region001 SpCNS055_PL.contig_17.region001
SpCNR942_PL.contig_0.region001 SpCNS055_PL.contig_17.region001
StCNB440_BA.contig_0.region013 SpCNS055_PL.contig_17.region001
SpCNR894_PL.contig_1.region001 SpCNS055_PL.contig_1.region001
SpCNR510_GU.contig_7.region001 SpCNS055_PL.contig_5.region001
StCNB536_BA.contig_35.region001 SpCNS103_PL.contig_4.region002
SpCNS055_PL.contig_8.region001 SpCNS103_PL.contig_9.region001
SaCNB527_BA.contig_24.region001 SpCNS103_PL.contig_47.region001
SaCNS299_PL.contig_33.region001 SpCNS103_PL.contig_51.region001
SpCNS055_PL.contig_5.region001 SpCNS103_PL.contig_8.region001
SaCNB458_BA.contig_27.region001 SpCNS103_PL.contig_47.region001
SpCNS055_PL.contig_1.region001 SpCNS103_PL.contig_1.region002
StCNB536_BA.contig_37.region001 SpCNS103_PL.contig_51.region001
SaCNH905_BA.contig_15.region001 SpCNS103_PL.contig_47.region001
SaCNS243_PL.contig_18.region001 SpCNS103_PL.contig_51.region001
StCNR699_BA.contig_11.region001 SpCNS103_PL.contig_51.region001
SpCNR942_PL.contig_17.region001 SpCNS237_PL.contig_1.region001
SpCNT029_FJ.contig_10.region001 SpCNS801_FJ.contig_7.region001
SpCNT029_FJ.contig_0.region007 SpCNS801_FJ.contig_16.region001
SpCNY239_FJ.contig_10.region001 SpCNS801_FJ.contig_7.region001
SpDSM45547_FJ.contig_0.region009 SpCNS801_FJ.contig_7.region001
SpCNR510_GU.contig_10.region001 SpCNS801_FJ.contig_7.region001
SpCNR909_PL.contig_7.region001 SpCNS801_FJ.contig_7.region001
SpCNY330_SC.contig_6.region001 SpCNS801_FJ.contig_7.region001
SpCNT045_FJ.contig_1.region002 SpCNS801_FJ.contig_16.region001
SpCNT001_FJ.contig_10.region001 SpCNS801_FJ.contig_7.region001
SpCNT003_FJ.contig_6.region001 SpCNS801_FJ.contig_7.region001
SpCNR114_GU.contig_24.region001 SpCNS801_FJ.contig_16.region001
SpDSM45544_FJ.contig_0.region013 SpCNS801_FJ.contig_7.region001
SpDSM45543_FJ.contig_0.region003 SpCNS801_FJ.contig_7.region001
SpCNQ768_GU.contig_4.region001 SpCNS801_FJ.contig_7.region001
SpCNS103_PL.contig_9.region001 SpCNS801_FJ.contig_7.region001
SpCNR114_GU.contig_6.region001 SpCNS801_FJ.contig_7.region001
SpDSM45543_FJ.contig_0.region012 SpCNS801_FJ.contig_16.region001
SpCNS801_FJ.contig_16.region001 SpCNS860_FJ.contig_16.region002
SpDSM45548_FJ.contig_1.region012 SpCNS860_FJ.contig_1.region001
SpCNS103_PL.contig_1.region002 SpCNS860_FJ.contig_3.region001
SpCNY330_SC.contig_2.region002 SpCNS860_FJ.contig_3.region001
SpCNT084_FJ.contig_26.region001 SpCNS860_FJ.contig_19.region001
SpCNS801_FJ.contig_7.region001 SpCNS860_FJ.contig_1.region001
SpCNH732_RS.contig_2.region002 SpCNS860_FJ.contig_3.region001
SpCNS055_PL.contig_0.region004 SpCNS860_FJ.contig_16.region002
SpCNS055_PL.contig_4.region001 SpCNS860_FJ.contig_4.region001
SpDSM45548_FJ.contig_1.region005 SpCNS860_FJ.contig_16.region002
SpCNT084_FJ.contig_15.region002 SpCNS860_FJ.contig_16.region002
SpCNS801_FJ.contig_16.region001 SpCNS996_FJ.contig_14.region002
SpCNT084_FJ.contig_46.region001 SpCNS996_FJ.contig_10.region001
SpDSM45548_FJ.contig_1.region012 SpCNS996_FJ.contig_11.region001
SpCNS103_PL.contig_28.region001 SpCNS996_FJ.contig_50.region001
SpCNT084_FJ.contig_26.region001 SpCNS996_FJ.contig_7.region002
SaCNP193_SC.contig_41.region001 SpCNS996_FJ.contig_23.region001
SaCNP105_SC.contig_45.region001 SpCNS996_FJ.contig_23.region001
SpCNR909_PL.contig_8.region002 SpCNS996_FJ.contig_14.region002
SpCNS801_FJ.contig_7.region001 SpCNS996_FJ.contig_11.region001
SpDSM45544_FJ.contig_0.region009 SpCNS996_FJ.contig_0.region001
SpCNS055_PL.contig_8.region001 SpCNS996_FJ.contig_11.region001
SpCNT084_FJ.contig_2.region002 SpCNS996_FJ.contig_0.region001
SpCNS055_PL.contig_4.region001 SpCNS996_FJ.contig_4.region001
SaCNH941_SC.contig_11.region002 SpCNS996_FJ.contig_23.region001
SpCNS055_PL.contig_0.region004 SpCNS996_FJ.contig_14.region002
SpCNR510_GU.contig_36.region001 SpCNS996_FJ.contig_50.region001
SpCNT084_FJ.contig_7.region001 SpCNS996_FJ.contig_11.region001
SpCNT084_FJ.contig_15.region002 SpCNS996_FJ.contig_14.region002
SpCNS055_PL.contig_1.region001 SpCNS996_FJ.contig_0.region001
SaCNS205_PL.contig_0.region003 SpCNS996_FJ.contig_23.region001
SaCNH964_SC.contig_46.region001 SpCNS996_FJ.contig_23.region001
SpDSM45548_FJ.contig_1.region005 SpCNS996_FJ.contig_14.region002
SaCNB527_BA.contig_24.region001 SpCNT001_FJ.contig_48.region001
SpCNS055_PL.contig_8.region001 SpCNT001_FJ.contig_10.region001
SaCNS243_PL.contig_18.region001 SpCNT001_FJ.contig_35.region001
SaCNX481_PM.contig_13.region001 SpCNT001_FJ.contig_35.region001
SpCNS055_PL.contig_5.region001 SpCNT001_FJ.contig_8.region001
SaCNB458_BA.contig_27.region001 SpCNT001_FJ.contig_48.region001
StCNB536_BA.contig_37.region001 SpCNT001_FJ.contig_35.region001
SaCNS299_PL.contig_33.region001 SpCNT001_FJ.contig_35.region001
SpCNS055_PL.contig_1.region001 SpCNT001_FJ.contig_5.region001
SpCNS055_PL.contig_0.region004 SpCNT001_FJ.contig_20.region001
StCNR699_BA.contig_11.region001 SpCNT001_FJ.contig_35.region001
SaCNH905_BA.contig_15.region001 SpCNT001_FJ.contig_48.region001
StCNB536_BA.contig_35.region001 SpCNT003_FJ.contig_4.region001
SpCNS055_PL.contig_0.region009 SpCNT003_FJ.contig_73.region001
SpCNS055_PL.contig_8.region001 SpCNT003_FJ.contig_6.region001
SpCNS055_PL.contig_5.region001 SpCNT003_FJ.contig_8.region001
SpCNS055_PL.contig_1.region001 SpCNT003_FJ.contig_2.region001
SaCNB527_BA.contig_24.region001 SpCNT003_FJ.contig_48.region001
SaCNH905_BA.contig_15.region001 SpCNT003_FJ.contig_48.region001
SaCNB458_BA.contig_27.region001 SpCNT003_FJ.contig_48.region001
SpCNR894_PL.contig_18.region001 SpCNT029_FJ.contig_0.region007
SpCNQ768_GU.contig_1.region002 SpCNT029_FJ.contig_7.region001
SpCNS055_PL.contig_4.region001 SpCNT029_FJ.contig_1.region001
SpCNS103_PL.contig_1.region002 SpCNT029_FJ.contig_7.region001
SpCNR909_PL.contig_8.region002 SpCNT029_FJ.contig_0.region007
SpCNY239_FJ.contig_0.region002 SpCNT029_FJ.contig_7.region001
SpCNR510_GU.contig_50.region001 SpCNT029_FJ.contig_0.region007
SpCNT003_FJ.contig_2.region001 SpCNT029_FJ.contig_7.region001
SpDSM45544_FJ.contig_0.region004 SpCNT029_FJ.contig_0.region007
SpCNS055_PL.contig_8.region001 SpCNT029_FJ.contig_10.region001
SpDSM45544_FJ.contig_0.region009 SpCNT029_FJ.contig_7.region001
SpCNR114_GU.contig_6.region001 SpCNT029_FJ.contig_10.region001
SpCNY330_SC.contig_2.region002 SpCNT029_FJ.contig_7.region001
SpCNH732_RS.contig_23.region001 SpCNT029_FJ.contig_0.region007
SpCNS103_PL.contig_9.region001 SpCNT029_FJ.contig_10.region001
SpCNR909_PL.contig_5.region001 SpCNT029_FJ.contig_7.region001
SpCNT003_FJ.contig_6.region001 SpCNT029_FJ.contig_10.region001
SpCNY330_SC.contig_25.region001 SpCNT029_FJ.contig_0.region007
SpCNT001_FJ.contig_5.region001 SpCNT029_FJ.contig_7.region001
SpCNR894_PL.contig_1.region001 SpCNT029_FJ.contig_7.region001
SpCNR909_PL.contig_7.region001 SpCNT029_FJ.contig_10.region001
SpCNY239_FJ.contig_6.region002 SpCNT029_FJ.contig_0.region007
SpCNH732_RS.contig_2.region002 SpCNT029_FJ.contig_7.region001
SpCNR510_GU.contig_1.region002 SpCNT029_FJ.contig_7.region001
SpCNS055_PL.contig_0.region004 SpCNT029_FJ.contig_0.region007
SpCNR114_GU.contig_8.region001 SpCNT029_FJ.contig_7.region001
SpCNS055_PL.contig_1.region001 SpCNT029_FJ.contig_7.region001
SaCNP193_SC.contig_41.region001 SpCNT045_FJ.contig_24.region001
SpCNS055_PL.contig_4.region001 SpCNT045_FJ.contig_3.region001
SaCNP105_SC.contig_45.region001 SpCNT045_FJ.contig_24.region001
SaCNH964_SC.contig_46.region001 SpCNT045_FJ.contig_24.region001
SpCNS055_PL.contig_8.region001 SpCNT045_FJ.contig_8.region001
SpCNS055_PL.contig_0.region004 SpCNT045_FJ.contig_1.region002
SaCNS205_PL.contig_0.region003 SpCNT045_FJ.contig_24.region001
SpDSM45543_FJ.contig_0.region021 SpCNT084_FJ.contig_46.region001
SpDSM45547_FJ.contig_0.region018 SpCNT084_FJ.contig_15.region002
SpCNS860_FJ.contig_12.region001 SpCNT084_FJ.contig_46.region001
SpCNT045_FJ.contig_1.region002 SpCNT084_FJ.contig_15.region002
SpCNS801_FJ.contig_16.region001 SpCNT084_FJ.contig_15.region002
SpDSM45543_FJ.contig_0.region012 SpCNT084_FJ.contig_15.region002
SpCNT045_FJ.contig_7.region001 SpCNT084_FJ.contig_2.region002
SpCNS055_PL.contig_5.region001 SpCNT084_FJ.contig_10.region001
SpDSM45543_FJ.contig_0.region004 SpCNT084_FJ.contig_26.region001
SpCNT029_FJ.contig_0.region007 SpCNT084_FJ.contig_15.region002
SpCNS055_PL.contig_0.region004 SpCNT084_FJ.contig_15.region002
SpDSM45543_FJ.contig_0.region005 SpCNT084_FJ.contig_2.region002
SpCNS055_PL.contig_8.region001 SpCNT084_FJ.contig_7.region001
SpCNT045_FJ.contig_10.region002 SpCNT084_FJ.contig_26.region001
SpCNT029_FJ.contig_7.region001 SpCNT084_FJ.contig_2.region002
SpCNS801_FJ.contig_7.region001 SpCNT084_FJ.contig_7.region001
SpCNT045_FJ.contig_13.region001 SpCNT084_FJ.contig_46.region001
SpDSM45548_FJ.contig_1.region005 SpCNT084_FJ.contig_15.region002
SpCNS055_PL.contig_1.region001 SpCNT084_FJ.contig_2.region002
SpDSM45547_FJ.contig_0.region010 SpCNT084_FJ.contig_2.region002
SpCNY498_PV.contig_2.region002 SpCNT124_FJ.contig_9.region001
SpCNY239_FJ.contig_0.region002 SpCNT124_FJ.contig_9.region001
SpCNT084_FJ.contig_2.region002 SpCNT124_FJ.contig_9.region001
SpCNY331_SC.contig_36.region001 SpCNT124_FJ.contig_15.region001
SpCNY363_SC.contig_34.region001 SpCNT124_FJ.contig_15.region001
SpCNQ768_GU.contig_1.region002 SpCNT124_FJ.contig_9.region001
SpCNS103_PL.contig_1.region001 SpCNT124_FJ.contig_6.region001
SpCNT003_FJ.contig_13.region001 SpCNT124_FJ.contig_15.region001
SpCNS103_PL.contig_1.region002 SpCNT124_FJ.contig_9.region001
SpCNY498_PV.contig_2.region001 SpCNT124_FJ.contig_6.region001
SpCNY239_FJ.contig_0.region001 SpCNT124_FJ.contig_6.region001
SpCNH732_RS.contig_2.region002 SpCNT124_FJ.contig_9.region001
SpDSM45544_FJ.contig_0.region012 SpCNT124_FJ.contig_15.region001
SpCNY330_SC.contig_2.region001 SpCNT124_FJ.contig_6.region001
SpCNT001_FJ.contig_24.region001 SpCNT124_FJ.contig_15.region001
SpCNH732_RS.contig_2.region001 SpCNT124_FJ.contig_6.region001
SpDSM45544_FJ.contig_0.region010 SpCNT124_FJ.contig_6.region001
SpCNR114_GU.contig_8.region001 SpCNT124_FJ.contig_9.region001
SpCNR909_PL.contig_18.region001 SpCNT124_FJ.contig_15.region001
SpCNT084_FJ.contig_26.region001 SpCNT124_FJ.contig_13.region001
SpCNR114_GU.contig_22.region001 SpCNT124_FJ.contig_15.region001
SpCNS103_PL.contig_21.region001 SpCNT124_FJ.contig_15.region001
SpCNS801_FJ.contig_16.region001 SpCNT124_FJ.contig_1.region004
SpCNR909_PL.contig_5.region001 SpCNT124_FJ.contig_9.region001
SpCNR510_GU.contig_1.region001 SpCNT124_FJ.contig_6.region001
SpCNY330_SC.contig_2.region002 SpCNT124_FJ.contig_9.region001
SpCNR114_GU.contig_11.region001 SpCNT124_FJ.contig_6.region001
SpCNT084_FJ.contig_2.region001 SpCNT124_FJ.contig_6.region001
SpCNT001_FJ.contig_5.region001 SpCNT124_FJ.contig_9.region001
SpCNS237_PL.contig_0.region003 SpCNT124_FJ.contig_17.region001
SpCNY239_FJ.contig_15.region001 SpCNT124_FJ.contig_15.region001
SpCNR909_PL.contig_8.region002 SpCNT124_FJ.contig_1.region004
SpCNS055_PL.contig_0.region004 SpCNT124_FJ.contig_1.region004
SpCNR510_GU.contig_23.region001 SpCNT124_FJ.contig_15.region001
SpCNT003_FJ.contig_42.region001 SpCNT124_FJ.contig_6.region001
