"Id","Label","clade","size"
"SA_CNB458.cluster011","SACNB458_cluster011","clade10","1"
"SA_CNB458.cluster012","SACNB458_cluster012","clade10","1"
"SA_CNB458.cluster013","SACNB458_cluster013","clade10","1"
"SA_CNB458.cluster014","SACNB458_cluster014","clade10","1"
"SA_CNB458.cluster015","SACNB458_cluster015","clade10","1"
"SA_CNB458.cluster016","SACNB458_cluster016","clade10","1"
"SA_CNB458.cluster017","SACNB458_cluster017","clade10","1"
"SA_CNB458.cluster018","SACNB458_cluster018","clade10","1"
"SA_CNB458.cluster019","SACNB458_cluster019","clade10","1"
"SA_CNB458.cluster020","SACNB458_cluster020","clade10","1"
"SA_CNB458.cluster021","SACNB458_cluster021","clade10","1"
"SA_CNB458.cluster022","SACNB458_cluster022","clade10","1"
"SA_CNB458.cluster023","SACNB458_cluster023","clade10","1"
"SA_CNB458.cluster024","SACNB458_cluster024","clade10","1"
"SA_CNB458.cluster025","SACNB458_cluster025","clade10","1"
"SA_CNB458.cluster026","SACNB458_cluster026","clade10","1"
"SA_CNB458.cluster027","SACNB458_cluster027","clade10","1"
"SA_CNB458.cluster028","SACNB458_cluster028","clade10","1"
"SA_CNB458.cluster029","SACNB458_cluster029","clade10","1"
"SA_CNB527.cluster001","SACNB527_cluster001","clade10","1"
"SA_CNB527.cluster002","SACNB527_cluster002","clade10","1"
"SA_CNB527.cluster004","SACNB527_cluster004","clade10","1"
"SA_CNB527.cluster005","SACNB527_cluster005","clade10","1"
"SA_CNB527.cluster006","SACNB527_cluster006","clade10","1"
"SA_CNB527.cluster007","SACNB527_cluster007","clade10","1"
"SA_CNB527.cluster008","SACNB527_cluster008","clade10","1"
"SA_CNB527.cluster010","SACNB527_cluster010","clade10","1"
"SA_CNB527.cluster011","SACNB527_cluster011","clade10","1"
"SA_CNB527.cluster012","SACNB527_cluster012","clade10","1"
"SA_CNB527.cluster013","SACNB527_cluster013","clade10","1"
"SA_CNB527.cluster014","SACNB527_cluster014","clade10","1"
"SA_CNB527.cluster015","SACNB527_cluster015","clade10","1"
"SA_CNB527.cluster016","SACNB527_cluster016","clade10","1"
"SA_CNB527.cluster017","SACNB527_cluster017","clade10","1"
"SA_CNB527.cluster018","SACNB527_cluster018","clade10","1"
"SA_CNB527.cluster019","SACNB527_cluster019","clade10","1"
"SA_CNB527.cluster020","SACNB527_cluster020","clade10","1"
"SA_CNB527.cluster021","SACNB527_cluster021","clade10","1"
"SA_CNB527.cluster022","SACNB527_cluster022","clade10","1"
"SA_CNB527.cluster023","SACNB527_cluster023","clade10","1"
"SA_CNB527.cluster024","SACNB527_cluster024","clade10","1"
"SA_CNB527.cluster025","SACNB527_cluster025","clade10","1"
"SA_CNB527.cluster026","SACNB527_cluster026","clade10","1"
"SA_CNB527.cluster027","SACNB527_cluster027","clade10","1"
"SA_CNB527.cluster028","SACNB527_cluster028","clade10","1"
"SA_CNB527.cluster029","SACNB527_cluster029","clade10","1"
"SA_CNB527.cluster031","SACNB527_cluster031","clade10","1"
"SA_CNH643.cluster001","SACNH643_cluster001","clade10","1"
"SA_CNH643.cluster002","SACNH643_cluster002","clade10","1"
"SA_CNH643.cluster003","SACNH643_cluster003","clade10","1"
"SA_CNH643.cluster004","SACNH643_cluster004","clade10","1"
"SA_CNH643.cluster005","SACNH643_cluster005","clade10","1"
"SA_CNH643.cluster006","SACNH643_cluster006","clade10","1"
"SA_CNH643.cluster007","SACNH643_cluster007","clade10","1"
"SA_CNH643.cluster008","SACNH643_cluster008","clade10","1"
"SA_CNH643.cluster009","SACNH643_cluster009","clade10","1"
"SA_CNH643.cluster010","SACNH643_cluster010","clade10","1"
"SA_CNH643.cluster011","SACNH643_cluster011","clade10","1"
"SA_CNH643.cluster012","SACNH643_cluster012","clade10","1"
"SA_CNH643.cluster013","SACNH643_cluster013","clade10","1"
"SA_CNH643.cluster014","SACNH643_cluster014","clade10","1"
"SA_CNH643.cluster015","SACNH643_cluster015","clade10","1"
"SA_CNH643.cluster016","SACNH643_cluster016","clade10","1"
"SA_CNH643.cluster017","SACNH643_cluster017","clade10","1"
"SA_CNH643.cluster018","SACNH643_cluster018","clade10","1"
"SA_CNH643.cluster019","SACNH643_cluster019","clade10","1"
"SA_CNH643.cluster020","SACNH643_cluster020","clade10","1"
"SA_CNH643.cluster021","SACNH643_cluster021","clade10","1"
"SA_CNH643.cluster022","SACNH643_cluster022","clade10","1"
"SA_CNH643.cluster023","SACNH643_cluster023","clade10","1"
"SA_CNH643.cluster024","SACNH643_cluster024","clade10","1"
"SA_CNH643.cluster025","SACNH643_cluster025","clade10","1"
"SA_CNH643.cluster026","SACNH643_cluster026","clade10","1"
"SA_CNH643.cluster027","SACNH643_cluster027","clade10","1"
"SA_CNH643.cluster028","SACNH643_cluster028","clade10","1"
"SA_CNH643.cluster029","SACNH643_cluster029","clade10","1"
"SA_CNH643.cluster030","SACNH643_cluster030","clade10","1"
"SA_CNH643.cluster031","SACNH643_cluster031","clade10","1"
"SA_CNH646.cluster001","SACNH646_cluster001","clade10","1"
"SA_CNH646.cluster002","SACNH646_cluster002","clade10","1"
"SA_CNH646.cluster003","SACNH646_cluster003","clade10","1"
"SA_CNH646.cluster004","SACNH646_cluster004","clade10","1"
"SA_CNH646.cluster005","SACNH646_cluster005","clade10","1"
"SA_CNH646.cluster006","SACNH646_cluster006","clade10","1"
"SA_CNH646.cluster007","SACNH646_cluster007","clade10","1"
"SA_CNH646.cluster008","SACNH646_cluster008","clade10","1"
"SA_CNH646.cluster009","SACNH646_cluster009","clade10","1"
"SA_CNH646.cluster010","SACNH646_cluster010","clade10","1"
"SA_CNH646.cluster011","SACNH646_cluster011","clade10","1"
"SA_CNH646.cluster012","SACNH646_cluster012","clade10","1"
"SA_CNH646.cluster013","SACNH646_cluster013","clade10","1"
"SA_CNH646.cluster014","SACNH646_cluster014","clade10","1"
"SA_CNH646.cluster015","SACNH646_cluster015","clade10","1"
"SA_CNH646.cluster016","SACNH646_cluster016","clade10","1"
"SA_CNH646.cluster017","SACNH646_cluster017","clade10","1"
"SA_CNH646.cluster018","SACNH646_cluster018","clade10","1"
"SA_CNH646.cluster019","SACNH646_cluster019","clade10","1"
"SA_CNH646.cluster020","SACNH646_cluster020","clade10","1"
"SA_CNH646.cluster021","SACNH646_cluster021","clade10","1"
"SA_CNH646.cluster022","SACNH646_cluster022","clade10","1"
"SA_CNH646.cluster023","SACNH646_cluster023","clade10","1"
"SA_CNH646.cluster024","SACNH646_cluster024","clade10","1"
"SA_CNH646.cluster025","SACNH646_cluster025","clade10","1"
"SA_CNH646.cluster026","SACNH646_cluster026","clade10","1"
"SA_CNH646.cluster027","SACNH646_cluster027","clade10","1"
"SA_CNH646.cluster028","SACNH646_cluster028","clade10","1"
"SA_CNH713.cluster001","SACNH713_cluster001","clade10","1"
"SA_CNH713.cluster002","SACNH713_cluster002","clade10","1"
"SA_CNH713.cluster003","SACNH713_cluster003","clade10","1"
"SA_CNH713.cluster004","SACNH713_cluster004","clade10","1"
"SA_CNH713.cluster005","SACNH713_cluster005","clade10","1"
"SA_CNH713.cluster006","SACNH713_cluster006","clade10","1"
"SA_CNH713.cluster007","SACNH713_cluster007","clade10","1"
"SA_CNH713.cluster008","SACNH713_cluster008","clade10","1"
"SA_CNH713.cluster009","SACNH713_cluster009","clade10","1"
"SA_CNH713.cluster010","SACNH713_cluster010","clade10","1"
"SA_CNH713.cluster011","SACNH713_cluster011","clade10","1"
"SA_CNH713.cluster012","SACNH713_cluster012","clade10","1"
"SA_CNH713.cluster013","SACNH713_cluster013","clade10","1"
"SA_CNH713.cluster014","SACNH713_cluster014","clade10","1"
"SA_CNH713.cluster015","SACNH713_cluster015","clade10","1"
"SA_CNH713.cluster016","SACNH713_cluster016","clade10","1"
"SA_CNH713.cluster017","SACNH713_cluster017","clade10","1"
"SA_CNH713.cluster018","SACNH713_cluster018","clade10","1"
"SA_CNH713.cluster019","SACNH713_cluster019","clade10","1"
"SA_CNH713.cluster020","SACNH713_cluster020","clade10","1"
"SA_CNH713.cluster021","SACNH713_cluster021","clade10","1"
"SA_CNH713.cluster022","SACNH713_cluster022","clade10","1"
"SA_CNH713.cluster023","SACNH713_cluster023","clade10","1"
"SA_CNH713.cluster024","SACNH713_cluster024","clade10","1"
"SA_CNH713.cluster025","SACNH713_cluster025","clade10","1"
"SA_CNH713.cluster026","SACNH713_cluster026","clade10","1"
"SA_CNH713.cluster027","SACNH713_cluster027","clade10","1"
"SA_CNH713.cluster028","SACNH713_cluster028","clade10","1"
"SA_CNH718.cluster001","SACNH718_cluster001","clade10","1"
"SA_CNH718.cluster002","SACNH718_cluster002","clade10","1"
"SA_CNH718.cluster003","SACNH718_cluster003","clade10","1"
"SA_CNH718.cluster004","SACNH718_cluster004","clade10","1"
"SA_CNH718.cluster005","SACNH718_cluster005","clade10","1"
"SA_CNH718.cluster006","SACNH718_cluster006","clade10","1"
"SA_CNH718.cluster007","SACNH718_cluster007","clade10","1"
"SA_CNH718.cluster008","SACNH718_cluster008","clade10","1"
"SA_CNH718.cluster009","SACNH718_cluster009","clade10","1"
"SA_CNH718.cluster010","SACNH718_cluster010","clade10","1"
"SA_CNH718.cluster011","SACNH718_cluster011","clade10","1"
"SA_CNH718.cluster012","SACNH718_cluster012","clade10","1"
"SA_CNH718.cluster013","SACNH718_cluster013","clade10","1"
"SA_CNH718.cluster014","SACNH718_cluster014","clade10","1"
"SA_CNH718.cluster015","SACNH718_cluster015","clade10","1"
"SA_CNH718.cluster016","SACNH718_cluster016","clade10","1"
"SA_CNH718.cluster017","SACNH718_cluster017","clade10","1"
"SA_CNH718.cluster018","SACNH718_cluster018","clade10","1"
"SA_CNH718.cluster019","SACNH718_cluster019","clade10","1"
"SA_CNH718.cluster020","SACNH718_cluster020","clade10","1"
"SA_CNH718.cluster021","SACNH718_cluster021","clade10","1"
"SA_CNH718.cluster022","SACNH718_cluster022","clade10","1"
"SA_CNH718.cluster023","SACNH718_cluster023","clade10","1"
"SA_CNH718.cluster024","SACNH718_cluster024","clade10","1"
"SA_CNH718.cluster025","SACNH718_cluster025","clade10","1"
"SA_CNH718.cluster026","SACNH718_cluster026","clade10","1"
"SA_CNH718.cluster027","SACNH718_cluster027","clade10","1"
"SA_CNH718.cluster028","SACNH718_cluster028","clade10","1"
"SA_CNH718.cluster029","SACNH718_cluster029","clade10","1"
"SA_CNH718.cluster030","SACNH718_cluster030","clade10","1"
"SA_CNH877.cluster001","SACNH877_cluster001","clade10","1"
"SA_CNH877.cluster002","SACNH877_cluster002","clade10","1"
"SA_CNH877.cluster003","SACNH877_cluster003","clade10","1"
"SA_CNH877.cluster004","SACNH877_cluster004","clade10","1"
"SA_CNH877.cluster005","SACNH877_cluster005","clade10","1"
"SA_CNH877.cluster006","SACNH877_cluster006","clade10","1"
"SA_CNH877.cluster007","SACNH877_cluster007","clade10","1"
"SA_CNH877.cluster008","SACNH877_cluster008","clade10","1"
"SA_CNH877.cluster009","SACNH877_cluster009","clade10","1"
"SA_CNH877.cluster010","SACNH877_cluster010","clade10","1"
"SA_CNH877.cluster011","SACNH877_cluster011","clade10","1"
"SA_CNH877.cluster012","SACNH877_cluster012","clade10","1"
"SA_CNH877.cluster013","SACNH877_cluster013","clade10","1"
"SA_CNH877.cluster014","SACNH877_cluster014","clade10","1"
"SA_CNH877.cluster015","SACNH877_cluster015","clade10","1"
"SA_CNH877.cluster016","SACNH877_cluster016","clade10","1"
"SA_CNH877.cluster017","SACNH877_cluster017","clade10","1"
"SA_CNH877.cluster018","SACNH877_cluster018","clade10","1"
"SA_CNH877.cluster019","SACNH877_cluster019","clade10","1"
"SA_CNH877.cluster020","SACNH877_cluster020","clade10","1"
"SA_CNH877.cluster021","SACNH877_cluster021","clade10","1"
"SA_CNH877.cluster022","SACNH877_cluster022","clade10","1"
"SA_CNH877.cluster023","SACNH877_cluster023","clade10","1"
"SA_CNH877.cluster024","SACNH877_cluster024","clade10","1"
"SA_CNH877.cluster025","SACNH877_cluster025","clade10","1"
"SA_CNH877.cluster026","SACNH877_cluster026","clade10","1"
"SA_CNH877.cluster027","SACNH877_cluster027","clade10","1"
"SA_CNH877.cluster028","SACNH877_cluster028","clade10","1"
"SA_CNH877.cluster030","SACNH877_cluster030","clade10","1"
"SA_CNH877.cluster031","SACNH877_cluster031","clade10","1"
"SA_CNH877.cluster032","SACNH877_cluster032","clade10","1"
"SA_CNH877.cluster033","SACNH877_cluster033","clade10","1"
"SA_CNH905.cluster001","SACNH905_cluster001","clade10","1"
"SA_CNH905.cluster002","SACNH905_cluster002","clade10","1"
"SA_CNH905.cluster003","SACNH905_cluster003","clade10","1"
"SA_CNH905.cluster004","SACNH905_cluster004","clade10","1"
"SA_CNH905.cluster005","SACNH905_cluster005","clade10","1"
"SA_CNH905.cluster006","SACNH905_cluster006","clade10","1"
"SA_CNH905.cluster007","SACNH905_cluster007","clade10","1"
"SA_CNH905.cluster008","SACNH905_cluster008","clade10","1"
"SA_CNH905.cluster009","SACNH905_cluster009","clade10","1"
"SA_CNH905.cluster010","SACNH905_cluster010","clade10","1"
"SA_CNH905.cluster011","SACNH905_cluster011","clade10","1"
"SA_CNH905.cluster012","SACNH905_cluster012","clade10","1"
"SA_CNH905.cluster013","SACNH905_cluster013","clade10","1"
"SA_CNH905.cluster014","SACNH905_cluster014","clade10","1"
"SA_CNH905.cluster015","SACNH905_cluster015","clade10","1"
"SA_CNH905.cluster016","SACNH905_cluster016","clade10","1"
"SA_CNH905.cluster017","SACNH905_cluster017","clade10","1"
"SA_CNH905.cluster018","SACNH905_cluster018","clade10","1"
"SA_CNH905.cluster019","SACNH905_cluster019","clade10","1"
"SA_CNH905.cluster020","SACNH905_cluster020","clade10","1"
"SA_CNH905.cluster021","SACNH905_cluster021","clade10","1"
"SA_CNH905.cluster022","SACNH905_cluster022","clade10","1"
"SA_CNH905.cluster023","SACNH905_cluster023","clade10","1"
"SA_CNH905.cluster024","SACNH905_cluster024","clade10","1"
"SA_CNH905.cluster025","SACNH905_cluster025","clade10","1"
"SA_CNH905.cluster026","SACNH905_cluster026","clade10","1"
"SA_CNH905.cluster027","SACNH905_cluster027","clade10","1"
"SA_CNH905.cluster028","SACNH905_cluster028","clade10","1"
"SA_CNH905.cluster029","SACNH905_cluster029","clade10","1"
"SA_CNH905.cluster030","SACNH905_cluster030","clade10","1"
"SA_CNH905.cluster031","SACNH905_cluster031","clade10","1"
"SA_CNH941.cluster001","SACNH941_cluster001","clade10","1"
"SA_CNH941.cluster002","SACNH941_cluster002","clade10","1"
"SA_CNH941.cluster003","SACNH941_cluster003","clade10","1"
"SA_CNH941.cluster004","SACNH941_cluster004","clade10","1"
"SA_CNH941.cluster005","SACNH941_cluster005","clade10","1"
"SA_CNH941.cluster006","SACNH941_cluster006","clade10","1"
"SA_CNH941.cluster007","SACNH941_cluster007","clade10","1"
"SA_CNH941.cluster008","SACNH941_cluster008","clade10","1"
"SA_CNH941.cluster009","SACNH941_cluster009","clade10","1"
"SA_CNH941.cluster010","SACNH941_cluster010","clade10","1"
"SA_CNH941.cluster011","SACNH941_cluster011","clade10","1"
"SA_CNH941.cluster012","SACNH941_cluster012","clade10","1"
"SA_CNH941.cluster013","SACNH941_cluster013","clade10","1"
"SA_CNH941.cluster014","SACNH941_cluster014","clade10","1"
"SA_CNH941.cluster015","SACNH941_cluster015","clade10","1"
"SA_CNH941.cluster016","SACNH941_cluster016","clade10","1"
"SA_CNH941.cluster017","SACNH941_cluster017","clade10","1"
"SA_CNH941.cluster018","SACNH941_cluster018","clade10","1"
"SA_CNH941.cluster019","SACNH941_cluster019","clade10","1"
"SA_CNH941.cluster020","SACNH941_cluster020","clade10","1"
"SA_CNH941.cluster021","SACNH941_cluster021","clade10","1"
"SA_CNH941.cluster022","SACNH941_cluster022","clade10","1"
"SA_CNH941.cluster023","SACNH941_cluster023","clade10","1"
"SA_CNH941.cluster024","SACNH941_cluster024","clade10","1"
"SA_CNH941.cluster025","SACNH941_cluster025","clade10","1"
"SA_CNH941.cluster026","SACNH941_cluster026","clade10","1"
"SA_CNH941.cluster027","SACNH941_cluster027","clade10","1"
"SA_CNH941.cluster028","SACNH941_cluster028","clade10","1"
"SA_CNH941.cluster029","SACNH941_cluster029","clade10","1"
"SA_CNH941.cluster030","SACNH941_cluster030","clade10","1"
"SA_CNH962.cluster001","SACNH962_cluster001","clade10","1"
"SA_CNH962.cluster002","SACNH962_cluster002","clade10","1"
"SA_CNH962.cluster003","SACNH962_cluster003","clade10","1"
"SA_CNH962.cluster004","SACNH962_cluster004","clade10","1"
"SA_CNH962.cluster005","SACNH962_cluster005","clade10","1"
"SA_CNH962.cluster006","SACNH962_cluster006","clade10","1"
"SA_CNH962.cluster007","SACNH962_cluster007","clade10","1"
"SA_CNH962.cluster008","SACNH962_cluster008","clade10","1"
"SA_CNH962.cluster009","SACNH962_cluster009","clade10","1"
"SA_CNH962.cluster010","SACNH962_cluster010","clade10","1"
"SA_CNH962.cluster011","SACNH962_cluster011","clade10","1"
"SA_CNH962.cluster012","SACNH962_cluster012","clade10","1"
"SA_CNH962.cluster013","SACNH962_cluster013","clade10","1"
"SA_CNH962.cluster014","SACNH962_cluster014","clade10","1"
"SA_CNH962.cluster015","SACNH962_cluster015","clade10","1"
"SA_CNH962.cluster016","SACNH962_cluster016","clade10","1"
"SA_CNH962.cluster017","SACNH962_cluster017","clade10","1"
"SA_CNH962.cluster018","SACNH962_cluster018","clade10","1"
"SA_CNH962.cluster019","SACNH962_cluster019","clade10","1"
"SA_CNH962.cluster020","SACNH962_cluster020","clade10","1"
"SA_CNH962.cluster021","SACNH962_cluster021","clade10","1"
"SA_CNH962.cluster022","SACNH962_cluster022","clade10","1"
"SA_CNH962.cluster023","SACNH962_cluster023","clade10","1"
"SA_CNH962.cluster024","SACNH962_cluster024","clade10","1"
"SA_CNH962.cluster025","SACNH962_cluster025","clade10","1"
"SA_CNH962.cluster026","SACNH962_cluster026","clade10","1"
"SA_CNH962.cluster027","SACNH962_cluster027","clade10","1"
"SA_CNH962.cluster028","SACNH962_cluster028","clade10","1"
"SA_CNH963.cluster001","SACNH963_cluster001","clade10","1"
"SA_CNH963.cluster002","SACNH963_cluster002","clade10","1"
"SA_CNH963.cluster003","SACNH963_cluster003","clade10","1"
"SA_CNH963.cluster004","SACNH963_cluster004","clade10","1"
"SA_CNH963.cluster005","SACNH963_cluster005","clade10","1"
"SA_CNH963.cluster006","SACNH963_cluster006","clade10","1"
"SA_CNH963.cluster007","SACNH963_cluster007","clade10","1"
"SA_CNH963.cluster008","SACNH963_cluster008","clade10","1"
"SA_CNH963.cluster009","SACNH963_cluster009","clade10","1"
"SA_CNH963.cluster010","SACNH963_cluster010","clade10","1"
"SA_CNH963.cluster011","SACNH963_cluster011","clade10","1"
"SA_CNH963.cluster012","SACNH963_cluster012","clade10","1"
"SA_CNH963.cluster013","SACNH963_cluster013","clade10","1"
"SA_CNH963.cluster014","SACNH963_cluster014","clade10","1"
"SA_CNH963.cluster015","SACNH963_cluster015","clade10","1"
"SA_CNH963.cluster016","SACNH963_cluster016","clade10","1"
"SA_CNH963.cluster017","SACNH963_cluster017","clade10","1"
"SA_CNH963.cluster018","SACNH963_cluster018","clade10","1"
"SA_CNH963.cluster019","SACNH963_cluster019","clade10","1"
"SA_CNH963.cluster020","SACNH963_cluster020","clade10","1"
"SA_CNH963.cluster021","SACNH963_cluster021","clade10","1"
"SA_CNH963.cluster022","SACNH963_cluster022","clade10","1"
"SA_CNH963.cluster023","SACNH963_cluster023","clade10","1"
"SA_CNH963.cluster024","SACNH963_cluster024","clade10","1"
"SA_CNH963.cluster025","SACNH963_cluster025","clade10","1"
"SA_CNH963.cluster026","SACNH963_cluster026","clade10","1"
"SA_CNH963.cluster027","SACNH963_cluster027","clade10","1"
"SA_CNH964.cluster001","SACNH964_cluster001","clade10","1"
"SA_CNH964.cluster002","SACNH964_cluster002","clade10","1"
"SA_CNH964.cluster003","SACNH964_cluster003","clade10","1"
"SA_CNH964.cluster004","SACNH964_cluster004","clade10","1"
"SA_CNH964.cluster005","SACNH964_cluster005","clade10","1"
"SA_CNH964.cluster006","SACNH964_cluster006","clade10","1"
"SA_CNH964.cluster007","SACNH964_cluster007","clade10","1"
"SA_CNH964.cluster008","SACNH964_cluster008","clade10","1"
"SA_CNH964.cluster009","SACNH964_cluster009","clade10","1"
"SA_CNH964.cluster010","SACNH964_cluster010","clade10","1"
"SA_CNH964.cluster011","SACNH964_cluster011","clade10","1"
"SA_CNH964.cluster012","SACNH964_cluster012","clade10","1"
"SA_CNH964.cluster013","SACNH964_cluster013","clade10","1"
"SA_CNH964.cluster014","SACNH964_cluster014","clade10","1"
"SA_CNH964.cluster015","SACNH964_cluster015","clade10","1"
"SA_CNH964.cluster016","SACNH964_cluster016","clade10","1"
"SA_CNH964.cluster017","SACNH964_cluster017","clade10","1"
"SA_CNH964.cluster018","SACNH964_cluster018","clade10","1"
"SA_CNH964.cluster019","SACNH964_cluster019","clade10","1"
"SA_CNH964.cluster020","SACNH964_cluster020","clade10","1"
"SA_CNH964.cluster021","SACNH964_cluster021","clade10","1"
"SA_CNH964.cluster022","SACNH964_cluster022","clade10","1"
"SA_CNH964.cluster023","SACNH964_cluster023","clade10","1"
"SA_CNH964.cluster024","SACNH964_cluster024","clade10","1"
"SA_CNH964.cluster025","SACNH964_cluster025","clade10","1"
"SA_CNH964.cluster026","SACNH964_cluster026","clade10","1"
"SA_CNH964.cluster027","SACNH964_cluster027","clade10","1"
"SA_CNH964.cluster028","SACNH964_cluster028","clade10","1"
"SA_CNH964.cluster029","SACNH964_cluster029","clade10","1"
"SA_CNH964.cluster030","SACNH964_cluster030","clade10","1"
"SA_CNH964.cluster031","SACNH964_cluster031","clade10","1"
"SA_CNH996.cluster001","SACNH996_cluster001","clade10","1"
"SA_CNH996.cluster002","SACNH996_cluster002","clade10","1"
"SA_CNH996.cluster003","SACNH996_cluster003","clade10","1"
"SA_CNH996.cluster004","SACNH996_cluster004","clade10","1"
"SA_CNH996.cluster005","SACNH996_cluster005","clade10","1"
"SA_CNH996.cluster006","SACNH996_cluster006","clade10","1"
"SA_CNH996.cluster007","SACNH996_cluster007","clade10","1"
"SA_CNH996.cluster008","SACNH996_cluster008","clade10","1"
"SA_CNH996.cluster009","SACNH996_cluster009","clade10","1"
"SA_CNH996.cluster010","SACNH996_cluster010","clade10","1"
"SA_CNH996.cluster011","SACNH996_cluster011","clade10","1"
"SA_CNH996.cluster012","SACNH996_cluster012","clade10","1"
"SA_CNH996.cluster013","SACNH996_cluster013","clade10","1"
"SA_CNH996.cluster014","SACNH996_cluster014","clade10","1"
"SA_CNH996.cluster015","SACNH996_cluster015","clade10","1"
"SA_CNH996.cluster016","SACNH996_cluster016","clade10","1"
"SA_CNH996.cluster017","SACNH996_cluster017","clade10","1"
"SA_CNH996.cluster018","SACNH996_cluster018","clade10","1"
"SA_CNH996.cluster019","SACNH996_cluster019","clade10","1"
"SA_CNH996.cluster020","SACNH996_cluster020","clade10","1"
"SA_CNH996.cluster021","SACNH996_cluster021","clade10","1"
"SA_CNH996.cluster022","SACNH996_cluster022","clade10","1"
"SA_CNH996.cluster023","SACNH996_cluster023","clade10","1"
"SA_CNH996.cluster024","SACNH996_cluster024","clade10","1"
"SA_CNH996.cluster025","SACNH996_cluster025","clade10","1"
"SA_CNH996.cluster026","SACNH996_cluster026","clade10","1"
"SA_CNH996.cluster027","SACNH996_cluster027","clade10","1"
"SA_CNH996.cluster028","SACNH996_cluster028","clade10","1"
"SA_CNH996.cluster029","SACNH996_cluster029","clade10","1"
"SA_CNH996.cluster030","SACNH996_cluster030","clade10","1"
"SA_CNH996.cluster031","SACNH996_cluster031","clade10","1"
"SA_CNH996.cluster032","SACNH996_cluster032","clade10","1"
"SA_CNH996.cluster033","SACNH996_cluster033","clade10","1"
"SA_CNH996B.cluster001","SACNH996B_cluster001","clade10","1"
"SA_CNH996B.cluster002","SACNH996B_cluster002","clade10","1"
"SA_CNH996B.cluster003","SACNH996B_cluster003","clade10","1"
"SA_CNH996B.cluster004","SACNH996B_cluster004","clade10","1"
"SA_CNH996B.cluster005","SACNH996B_cluster005","clade10","1"
"SA_CNH996B.cluster006","SACNH996B_cluster006","clade10","1"
"SA_CNH996B.cluster007","SACNH996B_cluster007","clade10","1"
"SA_CNH996B.cluster008","SACNH996B_cluster008","clade10","1"
"SA_CNH996B.cluster009","SACNH996B_cluster009","clade10","1"
"SA_CNH996B.cluster010","SACNH996B_cluster010","clade10","1"
"SA_CNH996B.cluster011","SACNH996B_cluster011","clade10","1"
"SA_CNH996B.cluster012","SACNH996B_cluster012","clade10","1"
"SA_CNH996B.cluster013","SACNH996B_cluster013","clade10","1"
"SA_CNH996B.cluster014","SACNH996B_cluster014","clade10","1"
"SA_CNH996B.cluster015","SACNH996B_cluster015","clade10","1"
"SA_CNH996B.cluster016","SACNH996B_cluster016","clade10","1"
"SA_CNH996B.cluster017","SACNH996B_cluster017","clade10","1"
"SA_CNH996B.cluster018","SACNH996B_cluster018","clade10","1"
"SA_CNH996B.cluster019","SACNH996B_cluster019","clade10","1"
