	SaCNB458_BA	SaCNB527_BA	SaCNH643_BA	SaCNH646_BA	SaCNH713_RS	SaCNH718_RS	SaCNH877_BA	SaCNH905_BA	SaCNH941_SC	SaCNH962_SC	SaCNH963_SC	SaCNH964_SC	SaCNH996B_SC	SaCNH996_SC	SaCNP105_SC	SaCNP193_SC	SaCNQ748_GU	SaCNQ884_GU	SaCNR107_GU	SaCNR425_GU	SaCNR921_PL	SaCNS051_PL	SaCNS205_PL	SaCNS243_PL	SaCNS296_PL	SaCNS299_PL	SaCNS325_PL	SaCNS342_FJ	SaCNS673_FJ	SaCNS744_FJ	SaCNS820_FJ	SaCNS848_FJ	SaCNT005_FJ	SaCNT798_HI	SaCNT799_HI	SaCNT800_HI	SaCNT849_HI	SaCNT850_HI	SaCNT857_HI	SaCNT859_HI	SaCNX481_PM	SaCNX482_PM	SaCNX508_PM	SaCNX814_PM	SaCNX891_PM	SaCNY011_BA	SaCNY230_FJ	SaCNY231_FJ	SaCNY234_FJ	SaCNY237_FJ	SaCNY244_FJ	SaCNY256_FJ	SaCNY260_FJ	SaCNY280_FJ	SaCNY281_FJ	SaCNY282_FJ	SaCNY486_PV	SaCNY679_YU	SaCNY685_YU	SaCNY690_YU	SaCNY694_YU	SaDSM45545_FJ	SpCNH732_RS	SpCNQ768_GU	SpCNR114_GU	SpCNR510_GU	SpCNR894_PL	SpCNR909_PL	SpCNR942_PL	SpCNS055_PL	SpCNS103_PL	SpCNS237_PL	SpCNS801_FJ	SpCNS860_FJ	SpCNS996_FJ	SpCNT001_FJ	SpCNT003_FJ	SpCNT029_FJ	SpCNT045_FJ	SpCNT084_FJ	SpCNT124_FJ	SpCNT131_FJ	SpCNT133_FJ	SpCNT403_FJ	SpCNT569_FJ	SpCNT584_FJ	SpCNT603_FJ	SpCNT609_FJ	SpCNT796_HI	SpCNT851_HI	SpCNT854_HI	SpCNT855_HI	SpCNY202_SC	SpCNY239_FJ	SpCNY330_SC	SpCNY331_SC	SpCNY363_SC	SpCNY498_PV	SpCNY646_RS	SpCNY666_MD	SpCNY673_MD	SpCNY703_MD	SpDSM45543_FJ	SpDSM45544_FJ	SpDSM45547_FJ	SpDSM45548_FJ	SpDSM45549_FJ	StCNB440_BA	StCNB476_BA	StCNB536_BA	StCNH898_BA	StCNR699_BA	StCNS197_BA	StCNS416_BA	StCNT250_BA	StCNT261_BA	StCNY012_BA	StCNY678_YU	StCNY681_YU	VmarisAB18
SaCNH963_SC	96.77	96.71	98.25	98.26	98.3	98.39	98.19	98.24	98.33	99.99	100	98.3	99.75	99.74	98.32	98.32	98.35	98.35	98.34	98.33	98.34	98.32	98.33	98.35	98.39	98.37	98.36	98.37	98.34	98.34	98.37	98.32	98.37	98.33	98.32	98.33	98.32	98.32	98.3	98.25	98.16	98.16	98.2	98.19	98.19	98.18	98.36	98.34	98.35	98.38	98.37	98.34	98.4	98.3	94.85	98.36	99.77	98.2	96.69	96.8	96.77	98.35	87.21	87.27	87.22	87.19	87.19	87.26	87.14	87.1	87.25	86.96	86.86	87.22	87.27	87.21	87.22	86.93	87.26	86.92	87.13	87.21	87.08	87.21	87.22	87.12	87.23	86.9	87.05	87	87.14	87.28	87.6	87.27	87.28	87.32	87.25	87.28	87.15	86.92	86.91	86.93	87.26	87.24	86.89	86.84	87.18	87.52	87.6	87.62	87.55	87.62	87.61	87.52	87.53	87.69	87.58	87.52	87.49	81.83
SaCNH964_SC	96.64	96.53	98.9	98.93	98.87	98.83	98.82	98.87	99.83	98.31	98.3	100	98.18	98.19	99.98	99.85	98.8	98.81	98.77	98.78	98.8	98.78	98.8	98.81	98.77	98.74	98.84	98.82	98.83	98.83	98.86	98.95	98.78	99.05	99.08	99.06	99.03	99.08	98.98	98.93	98.57	98.58	98.63	98.56	98.61	98.84	98.78	98.76	98.84	98.85	98.85	98.83	98.84	98.98	94.87	98.82	98.27	98.84	96.54	96.55	96.63	99	87.32	87.27	87.32	87.42	87.25	87.29	87.45	87.1	87.3	86.97	86.89	87.03	87.16	87.2	87.41	86.89	87.19	87.04	87.16	87.32	87.11	87.1	87.49	87.12	87.18	86.96	87.02	87.18	87.09	87.35	87.51	87.39	87.35	87.32	87.45	87.42	87.16	87.04	87	86.97	87.08	87.3	87.06	86.89	87.22	87.72	87.79	87.74	87.68	87.71	87.76	87.69	87.65	87.8	87.7	87.66	87.73	81.79
SaCNH996B_SC	96.76	96.72	98.21	98.25	98.26	98.35	98.13	98.19	98.28	99.75	99.75	98.18	100	99.99	98.23	98.29	98.28	98.29	98.29	98.32	98.32	98.31	98.3	98.33	98.36	98.37	98.33	98.37	98.29	98.33	98.34	98.27	98.34	98.29	98.28	98.31	98.3	98.29	98.23	98.15	98.12	98.09	98.17	98.12	98.19	98.12	98.32	98.32	98.32	98.31	98.35	98.31	98.34	98.27	94.86	98.33	99.79	98.13	96.72	96.76	96.75	98.31	87.24	87.28	87.32	87.39	87.32	87.33	87.2	87.15	87.31	86.96	86.9	87.25	87.27	87.37	87.24	86.89	87.21	87.24	87.13	87.32	87.27	87.22	87.25	87.24	87.22	87.26	87.08	87.15	87.11	87.28	87.53	87.3	87.32	87.64	87.66	87.3	87.38	86.87	87.01	87.05	87.28	87.37	86.93	86.88	87.28	87.54	87.63	87.7	87.73	87.59	87.65	87.58	87.53	87.71	87.7	87.5	87.48	81.69
SaCNH996_SC	96.79	96.72	98.2	98.23	98.27	98.35	98.16	98.19	98.26	99.76	99.74	98.19	99.99	100	98.23	98.26	98.29	98.31	98.27	98.31	98.31	98.32	98.3	98.34	98.36	98.37	98.33	98.36	98.29	98.33	98.36	98.27	98.33	98.3	98.31	98.31	98.31	98.3	98.24	98.15	98.12	98.11	98.19	98.12	98.19	98.14	98.32	98.3	98.33	98.34	98.37	98.32	98.33	98.26	94.84	98.33	99.78	98.14	96.69	96.76	96.75	98.31	87.29	87.29	87.3	87.41	87.23	87.3	87.22	87.15	87.31	87	86.9	87.23	87.26	87.37	87.23	86.94	87.25	87.2	87.15	87.26	87.37	87.2	87.25	87.2	87.24	87.27	87.04	87.1	87.14	87.34	87.52	87.22	87.4	87.71	87.7	87.32	87.36	86.87	86.97	86.98	87.3	87.36	86.95	86.91	87.33	87.55	87.63	87.74	87.72	87.65	87.61	87.6	87.58	87.77	87.67	87.52	87.5	81.75
SaCNP105_SC	96.63	96.52	98.89	98.93	98.89	98.83	98.8	98.88	99.84	98.33	98.32	99.98	98.23	98.23	100	99.83	98.81	98.82	98.78	98.81	98.8	98.81	98.8	98.81	98.8	98.78	98.83	98.83	98.84	98.85	98.83	99	98.83	99.04	99.08	99.05	99.03	99.07	98.96	98.93	98.58	98.58	98.62	98.6	98.6	98.82	98.79	98.81	98.86	98.83	98.85	98.82	98.81	99.02	94.87	98.81	98.27	98.84	96.57	96.55	96.65	99.04	87.31	87.3	87.28	87.45	87.36	87.31	87.41	87.09	87.33	86.95	86.91	87.04	87.2	87.27	87.36	86.92	87.16	87.11	87.16	87.39	87.19	87.09	87.46	87.17	87.22	87.04	87.03	87.22	87.05	87.37	87.51	87.43	87.38	87.34	87.39	87.38	87.08	87.02	86.97	87.04	87.06	87.4	87.01	86.88	87.2	87.73	87.82	87.76	87.69	87.77	87.84	87.7	87.69	87.76	87.71	87.6	87.71	81.7
SaCNP193_SC	96.66	96.56	98.9	98.93	98.9	98.84	98.82	98.88	100	98.32	98.32	99.85	98.29	98.26	99.83	100	98.82	98.8	98.83	98.83	98.82	98.84	98.82	98.84	98.84	98.83	98.82	98.81	98.84	98.86	98.85	99.07	98.87	99.04	99.08	99.05	99.04	99.09	98.98	98.97	98.64	98.62	98.64	98.65	98.62	98.84	98.84	98.85	98.84	98.84	98.85	98.83	98.84	99.03	94.86	98.83	98.31	98.85	96.59	96.63	96.67	99.05	87.28	87.34	87.37	87.31	87.36	87.31	87.51	87.12	87.33	86.97	86.9	87.06	87.22	87.33	87.33	86.85	87.19	86.98	87.17	87.28	87.18	87.14	87.38	87.27	87.29	86.98	87.03	87.11	87.21	87.34	87.55	87.4	87.39	87.34	87.24	87.43	87.12	86.96	86.92	86.89	87.06	87.36	86.99	86.85	87.24	87.69	87.83	87.77	87.75	87.8	87.8	87.69	87.73	87.88	87.71	87.72	87.64	81.74
SaCNQ748_GU	96.65	96.59	98.74	98.72	98.85	99.1	98.63	98.73	98.82	98.35	98.35	98.8	98.28	98.29	98.81	98.82	100	99.42	99.29	99.42	99.35	99.31	99.35	99.36	99.31	99.31	99.39	99.32	99.34	99.36	99.35	98.86	99.32	98.89	98.92	98.89	98.9	98.91	98.81	98.79	98.84	98.85	98.84	98.86	98.85	98.64	99.27	99.3	99.32	99.34	99.33	99.32	99.34	98.88	94.95	99.31	98.29	98.65	96.6	96.65	96.67	98.89	87.33	87.27	87.31	87.36	87.31	87.3	87.32	87.17	87.33	87.1	86.96	87.31	87.3	87.33	87.3	87.01	87.36	87.04	87.25	87.38	87.23	87.28	87.3	87.15	87.28	86.98	87.07	87.08	87.19	87.36	87.49	87.39	87.25	87.3	87.32	87.3	87.28	86.92	87.04	87.01	87.37	87.34	87.21	86.83	87.35	87.6	87.7	87.8	87.63	87.74	87.64	87.57	87.56	87.72	87.67	87.57	87.65	81.78
SaCNQ884_GU	96.66	96.63	98.73	98.71	98.87	99.07	98.63	98.7	98.81	98.35	98.35	98.81	98.29	98.31	98.82	98.8	99.42	100	99.35	99.34	99.31	99.31	99.3	99.33	99.32	99.33	99.35	99.3	99.31	99.3	99.34	98.89	99.31	98.9	98.89	98.89	98.89	98.89	98.82	98.79	98.82	98.82	98.84	98.88	98.84	98.63	99.27	99.26	99.32	99.31	99.34	99.3	99.32	98.9	94.98	99.32	98.34	98.64	96.6	96.71	96.67	98.92	87.27	87.24	87.25	87.25	87.18	87.27	87.23	87.11	87.28	87.17	86.96	87.22	87.28	87.24	87.39	86.94	87.37	87.03	87.14	87.29	87.23	87.25	87.22	87.15	87.18	87.02	87.07	87.04	87.17	87.4	87.45	87.41	87.22	87.28	87.3	87.32	87.43	86.92	87.05	86.93	87.31	87.35	87.18	86.99	87.32	87.59	87.69	87.73	87.58	87.64	87.63	87.56	87.59	87.7	87.57	87.51	87.6	81.78
SaCNR107_GU	96.68	96.63	98.66	98.71	98.84	99.08	98.62	98.71	98.83	98.34	98.34	98.77	98.29	98.27	98.78	98.83	99.29	99.35	100	99.3	99.28	99.25	99.26	99.26	99.3	99.28	99.26	99.27	99.27	99.24	99.32	98.86	99.29	98.88	98.89	98.85	98.89	98.9	98.8	98.8	98.81	98.75	98.82	98.79	98.78	98.63	99.19	99.2	99.24	99.31	99.3	99.26	99.27	98.84	95.05	99.25	98.3	98.62	96.63	96.68	96.67	98.86	87.26	87.23	87.55	87.38	87.27	87.33	87.29	87.1	87.31	87.09	87.02	87.38	87.39	87.3	87.37	86.98	87.42	87.12	87.18	87.39	87.18	87.3	87.24	87.17	87.33	87.06	87.11	87.11	87.24	87.42	87.49	87.44	87.32	87.47	87.24	87.55	87.26	87.02	87.06	86.99	87.29	87.27	86.99	87.05	87.4	87.64	87.67	87.75	87.68	87.64	87.65	87.65	87.58	87.69	87.65	87.58	87.6	81.87
SaCNR425_GU	96.65	96.6	98.75	98.75	98.87	99.07	98.67	98.75	98.82	98.36	98.33	98.78	98.32	98.31	98.81	98.83	99.42	99.34	99.3	100	99.33	99.3	99.36	99.37	99.3	99.31	99.37	99.3	99.35	99.33	99.31	98.86	99.35	98.88	98.93	98.92	98.91	98.93	98.78	98.77	98.83	98.83	98.86	98.79	98.84	98.68	99.26	99.33	99.32	99.34	99.32	99.32	99.31	98.86	94.99	99.35	98.32	98.64	96.58	96.65	96.67	98.87	87.24	87.21	87.23	87.24	87.25	87.27	87.21	87.1	87.29	86.9	86.96	87.18	87.29	87.33	87.23	86.95	87.31	87.17	87.17	87.26	87.28	87.28	87.17	87.16	87.28	87.15	86.97	86.96	87.16	87.3	87.42	87.3	87.28	87.2	87.25	87.32	87.35	86.88	86.93	86.94	87.3	87.38	86.97	86.95	87.24	87.55	87.66	87.74	87.53	87.63	87.6	87.52	87.5	87.64	87.57	87.56	87.55	81.81
SaCNR921_PL	96.73	96.63	98.74	98.73	98.87	99.11	98.66	98.74	98.82	98.36	98.34	98.8	98.32	98.31	98.8	98.82	99.35	99.31	99.28	99.33	100	99.33	99.34	99.36	99.31	99.32	99.35	99.32	99.3	99.31	99.32	98.88	99.31	98.9	98.89	98.89	98.89	98.9	98.79	98.8	98.82	98.85	98.85	98.86	98.85	98.66	99.26	99.3	99.29	99.32	99.3	99.29	99.32	98.87	95	99.3	98.33	98.68	96.69	96.74	96.74	98.89	87.38	87.34	87.34	87.33	87.43	87.26	87.35	87.15	87.35	87.14	87.02	87.29	87.42	87.39	87.39	87.04	87.41	87.17	87.3	87.38	87.21	87.29	87.29	87.33	87.32	87.09	87.01	87.06	87.25	87.35	87.43	87.41	87.38	87.37	87.41	87.46	87.3	86.96	87.03	86.99	87.25	87.35	87.04	86.89	87.26	87.55	87.66	87.78	87.62	87.62	87.65	87.55	87.59	87.68	87.62	87.62	87.59	81.71
SaCNS051_PL	96.7	96.67	98.73	98.75	98.85	99.1	98.62	98.73	98.84	98.31	98.32	98.78	98.31	98.32	98.81	98.84	99.31	99.31	99.25	99.3	99.33	100	99.34	99.33	99.31	99.32	99.35	99.31	99.28	99.28	99.31	98.87	99.29	98.93	98.92	98.92	98.93	98.9	98.82	98.81	98.78	98.77	98.83	98.81	98.81	98.66	99.24	99.24	99.3	99.33	99.3	99.25	99.33	98.83	95.02	99.3	98.33	98.66	96.67	96.71	96.69	98.86	87.39	87.33	87.7	87.44	87.4	87.41	87.41	87.26	87.31	87.22	87.11	87.32	87.37	87.54	87.34	87.05	87.38	87.28	87.28	87.41	87.43	87.39	87.33	87.32	87.31	87.27	87.08	87.21	87.2	87.36	87.54	87.57	87.58	87.7	87.49	87.92	87.29	86.97	87.02	87.01	87.38	87.35	87	86.94	87.4	87.62	87.72	87.83	87.75	87.72	87.65	87.68	87.67	87.76	87.71	87.66	87.55	81.72
SaCNS205_PL	96.66	96.59	98.71	98.7	98.84	99.05	98.65	98.7	98.81	98.34	98.33	98.8	98.3	98.3	98.8	98.82	99.35	99.3	99.26	99.36	99.34	99.34	100	99.4	99.39	99.34	99.62	99.32	99.33	99.33	99.36	98.89	99.34	98.9	98.9	98.88	98.88	98.9	98.77	98.8	98.8	98.83	98.83	98.82	98.83	98.66	99.27	99.33	99.31	99.32	99.3	99.29	99.32	98.87	94.98	99.31	98.31	98.65	96.57	96.62	96.65	98.88	87.32	87.34	87.28	87.33	87.43	87.29	87.36	87.15	87.33	87.05	86.99	87.26	87.49	87.36	87.34	86.97	87.46	87.02	87.25	87.26	87.19	87.33	87.22	87.24	87.31	87.04	87	87.05	87.24	87.34	87.46	87.37	87.36	87.33	87.31	87.39	87.19	86.91	86.97	86.95	87.24	87.4	87.03	86.9	87.23	87.56	87.67	87.69	87.57	87.65	87.66	87.58	87.51	87.67	87.6	87.57	87.57	81.84
