Parameter	Posterior Mean	Posterior Variance	a_post	b_post
SpCNR909_PL	0.000805034	1.89174e-08	34.2584	42555.3
StCNB440_BA	0.000833614	1.95865e-08	35.4792	42560.7
SpCNT569_FJ	0.00155812	3.6616e-08	66.3026	42553
SpCNT603_FJ	0.00114899	2.6977e-08	48.9374	42591.6
SaCNR107_GU	0.00144545	3.39575e-08	61.5276	42566.4
StCNY012_BA	0.000821078	1.92769e-08	34.9728	42593.8
SaCNY694_YU	0.00102573	2.41929e-08	43.4891	42398
SpCNR942_PL	0.00205815	4.83525e-08	87.6065	42565.6
SaCNB458_BA	0.000772502	1.81389e-08	32.8994	42588.2
SaDSM45545_FJ	0.000723474	1.71171e-08	30.5785	42266.2
SpCNT854_HI	0.00126569	2.97196e-08	53.9033	42587.9
SaCNY230_FJ	0.00123278	2.95197e-08	51.4828	41761.4
SaCNS299_PL	0.00104112	2.44822e-08	44.2739	42525.4
SaCNY260_FJ	0.00113584	2.66978e-08	48.324	42544.5
SpCNY498_PV	0.00166262	3.94789e-08	70.02	42114.2
SaCNT859_HI	0.000516825	1.26046e-08	21.1913	41002.8
SpCNT029_FJ	0.00167151	3.93682e-08	70.9699	42458.5
SpCNT855_HI	0.0011733	2.76261e-08	49.8309	42470.7
SaCNX481_PM	0.000598752	1.42293e-08	25.1948	42078.9
SaCNX814_PM	0.000670551	1.60561e-08	28.0042	41763
SpCNT131_FJ	0.00103073	2.42979e-08	43.7242	42420.5
SpCNY666_MD	0.000100309	9.89325e-09	1.01705	10139.2
SpCNY646_RS	0.000100044	9.99633e-09	1.00125	10008.1
SpCNS055_PL	0.00105149	7.55391e-08	14.6365	13919.8
SaCNY231_FJ	0.000958641	2.28971e-08	40.1358	41867.3
StCNY681_YU	0.0003282	7.70507e-09	13.9798	42595.3
SaCNH713_RS	0.00251936	5.97109e-08	106.298	42192.6
SpCNY331_SC	7.04165e-05	1.65309e-09	2.99953	42596.9
StCNY678_YU	0.000233659	5.48573e-09	9.95245	42594
SaCNX508_PM	0.000821158	1.92785e-08	34.9768	42594.5
SaCNY256_FJ	0.00016118	3.78509e-09	6.86346	42582.7
SaCNX482_PM	0.000811932	1.92793e-08	34.194	42114.3
SpCNY363_SC	0.000257841	6.05322e-09	10.9829	42595.6
SaCNR425_GU	0.00121671	2.85712e-08	51.8138	42585.2
SpCNS801_FJ	0.00141233	3.38084e-08	58.9997	41774.6
StCNB476_BA	0.00104202	2.47389e-08	43.8907	42120.8
SaCNH996B_SC	4.69466e-05	1.10211e-09	1.99978	42597
SaCNY244_FJ	0.000796949	1.87115e-08	33.9432	42591.4
SaCNY280_FJ	0.000628064	1.47514e-08	26.7407	42576.4
SaCNS848_FJ	0.000398286	9.35105e-09	16.9641	42592.7
SpDSM45544_FJ	0.000726985	1.70679e-08	30.965	42593.7
SaCNH646_BA	0.000340937	8.62003e-09	13.4846	39551.7
SaCNT857_HI	0.000671593	1.61246e-08	27.972	41650.2
SpCNY202_SC	9.94242e-05	9.87816e-09	1.00071	10065.1
SpCNQ768_GU	0.000539299	1.26611e-08	22.9713	42594.8
SpCNT124_FJ	0.000697111	1.64445e-08	29.5518	42391.8
SaCNR921_PL	0.00135774	3.18842e-08	57.8171	42583.4
SaCNS051_PL	0.00149989	3.53263e-08	63.6824	42458.1
SaCNS342_FJ	0.000490829	1.15797e-08	20.8048	42387
StCNS416_BA	0.000668721	1.57834e-08	28.3328	42368.6
SaCNY282_FJ	0.000281105	6.59965e-09	11.9733	42593.9
SpCNR114_GU	0.000980728	2.33935e-08	41.115	41923
SaCNH877_BA	0.000564608	1.33667e-08	23.849	42240
SaCNH964_SC	4.69461e-05	1.1021e-09	1.99976	42597
SaCNY011_BA	0.000479211	1.1273e-08	20.3711	42509.7
NODE_110	0.000100803	9.97614e-09	1.01856	10104.4
NODE_111	0.00030404	7.13818e-09	12.9501	42593.5
NODE_112	0.000233632	5.48508e-09	9.95133	42594.1
NODE_113	0.000318679	7.49198e-09	13.5553	42536
NODE_114	0.000209542	4.91967e-09	8.92499	42592.8
NODE_115	0.000538512	1.26434e-08	22.9364	42592.3
NODE_116	0.00415967	1.02304e-07	169.132	40659.9
NODE_117	0.000833112	1.99116e-08	34.8578	41840.5
NODE_118	0.00195852	4.6275e-08	82.8913	42323.5
NODE_119	0.000102581	1.01758e-08	1.03411	10080.9
NODE_120	0.000439639	1.03266e-08	18.7169	42573.3
NODE_121	0.000233797	5.48887e-09	9.95852	42594.7
NODE_122	0.00182811	4.30167e-08	77.6908	42497.8
NODE_123	0.000185164	4.34784e-09	7.88569	42587.6
NODE_124	0.00039835	9.35208e-09	16.9676	42594.8
NODE_125	0.00028065	6.58927e-09	11.9534	42591.9
NODE_126	0.000647118	1.52008e-08	27.5487	42571.3
NODE_127	0.000407049	9.56853e-09	17.316	42540.4
NODE_128	0.000260245	6.11655e-09	11.0729	42547.7
NODE_129	9.38869e-05	2.20408e-09	3.99929	42596.9
NODE_130	0.000280202	6.5788e-09	11.9343	42591.7
NODE_131	0.0025236	1.43602e-07	44.3487	17573.6
NODE_132	0.000725095	1.70257e-08	30.8805	42588.3
NODE_133	0.00166146	3.91418e-08	70.5244	42447.2
NODE_134	9.99616e-05	9.98793e-09	1.00044	10008.2
NODE_135	0.000100051	1.00033e-08	1.0007	10001.9
NODE_136	0.00210079	5.14456e-08	85.7857	40835.1
NODE_137	9.99964e-05	9.99752e-09	1.00018	10002.1
NODE_138	0.00397165	9.69976e-08	162.622	40945.8
NODE_139	0.000350182	2.80981e-08	4.36425	12462.8
NODE_140	0.000825061	5.96652e-08	11.4091	13828.2
NODE_141	0.000445235	1.04529e-08	18.9645	42594.4
NODE_142	0.000305065	7.16178e-09	12.9946	42596.3
NODE_143	0.000234261	5.49967e-09	9.97843	42595.4
NODE_144	0.000140817	3.30582e-09	5.99836	42596.7
NODE_145	4.69463e-05	1.1021e-09	1.99977	42597
NODE_146	0.00056503	1.34776e-08	23.6881	41923.6
NODE_147	0.000279456	6.56857e-09	11.8893	42544.4
NODE_148	0.000398271	9.35031e-09	16.9641	42594.4
NODE_149	9.38868e-05	2.20408e-09	3.99928	42596.9
NODE_150	0.000281554	6.60983e-09	11.9931	42596.2
NODE_151	9.99745e-05	9.99293e-09	1.0002	10004.5
NODE_152	0.00297758	7.36933e-08	120.309	40405
NODE_153	0.00156238	3.67122e-08	66.4913	42557.6
NODE_154	0.00275234	6.4716e-08	117.056	42529.6
NODE_155	0.000109826	9.69078e-09	1.24467	11333.1
NODE_156	0.0703013	1.77325e-06	2787.13	39645.5
NODE_157	0.000396937	9.31952e-09	16.9064	42592
NODE_158	0.000768293	1.80479e-08	32.706	42569.8
NODE_159	0.00050434	1.18512e-08	21.4627	42556
NODE_160	0.00492682	1.28376e-07	189.081	38377.9
NODE_161	0.000542403	1.27534e-08	23.0685	42530.2
NODE_162	0.000278675	6.54399e-09	11.8673	42584.9
NODE_163	0.000117277	2.75321e-09	4.99558	42596.4
NODE_164	0.00307637	8.69596e-08	108.833	35377
NODE_165	0.00374981	9.18865e-08	153.027	40809.2
NODE_166	0.000190272	4.57677e-09	7.91028	41573.5
NODE_167	0.000117358	2.75508e-09	4.99907	42596.9
NODE_168	7.04167e-05	1.65309e-09	2.99954	42596.9
NODE_169	0.000631171	1.48205e-08	26.8801	42587.6
NODE_170	0.00021279	5.00384e-09	9.04895	42525.3
NODE_171	0.000256348	6.01908e-09	10.9177	42589.3
NODE_172	0.000458794	1.08004e-08	19.4894	42479.5
NODE_173	0.000231953	5.45301e-09	9.86655	42536.8
NODE_174	0.00236541	5.58216e-08	100.233	42374.5
NODE_175	0.000227316	5.5265e-09	9.34997	41132
NODE_176	0.000163668	3.84243e-09	6.97145	42595
NODE_177	0.000468383	1.09966e-08	19.95	42593.3
NODE_178	0.00192352	4.89948e-08	75.5164	39259.6
NODE_179	0.000910573	2.25248e-08	36.8102	40425.3
NODE_180	0.00117966	2.85283e-08	48.7797	41350.6
NODE_181	0.000187718	4.4069e-09	7.99615	42596.5
NODE_182	0.000405844	9.76676e-09	16.8642	41553.5
NODE_183	0.000559545	1.32129e-08	23.6959	42348.5
NODE_184	0.000387877	9.1125e-09	16.5102	42565.4
NODE_185	0.000117358	2.75508e-09	4.99908	42596.9
NODE_186	0.000234513	5.50557e-09	9.9892	42595.5
NODE_187	0.000557646	1.30969e-08	23.7437	42578.4
NODE_188	5.59673e-05	1.3978e-09	2.2409	40039.5
NODE_189	0.000164298	3.85705e-09	6.99856	42596.8
NODE_190	0.0003048	7.15568e-09	12.9831	42595.6
NODE_191	0.000281557	6.60994e-09	11.9932	42596.1
NODE_192	0.000515216	1.20968e-08	21.9436	42591
NODE_193	0.000117325	2.75432e-09	4.99765	42596.6
NODE_194	0.000164299	3.85707e-09	6.9986	42596.8
NODE_195	0.000206953	4.8808e-09	8.7751	42401.4
NODE_196	0.000117358	2.75508e-09	4.99906	42596.9
NODE_197	0.000253494	5.95443e-09	10.7919	42572.4
NODE_198	0.000547922	1.29077e-08	23.259	42449.4
NODE_199	0.000412486	9.69013e-09	17.5585	42567.6
NODE_201	0.000562688	1.32107e-08	23.9668	42593.5
NODE_202	0.000445906	1.04682e-08	18.9939	42596.1
NODE_203	0.00030347	7.1256e-09	12.9244	42588.7
NODE_204	0.000210819	4.94934e-09	8.97992	42595.4
NODE_205	0.000420176	9.86694e-09	17.8928	42584.2
NODE_206	0.000351314	8.24785e-09	14.9641	42594.6
NODE_207	0.000598617	1.40604e-08	25.4859	42574.6
NODE_208	0.000210979	4.95308e-09	8.98679	42595.6
NODE_209	0.000480732	1.15825e-08	19.9528	41505.1
NODE_210	0.000211227	4.95877e-09	8.99756	42596.6
NODE_211	0.000189951	4.5483e-09	7.93295	41763.1
NODE_212	0.000492672	1.15663e-08	20.9856	42595.4
NODE_213	0.001358	3.19446e-08	57.7302	42511.1
NODE_214	0.000533264	1.25275e-08	22.6996	42567.4
NODE_215	0.000530826	1.24674e-08	22.6011	42577.2
