gene	variable	value	bgcname	cluster	bp_count	repseq	genedescription
total.lomaiviticin.cluster11.aln	clade7	18	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster11.aln	clade8	7.02766798418972	lomaiviticin	cluster11	1017	strE_1	dTDP-glucose 4,6-dehydratase
total.lomaiviticin.cluster12.aln	clade3	0	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster12.aln	clade6	0	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster12.aln	clade5	0	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster12.aln	clade7	18.6666666666667	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster12.aln	clade8	3.99209486166008	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster12.aln	clade4	0	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster12.aln	clade2	3	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster12.aln	clade10	0	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster12.aln	clade1	1.46969696969697	lomaiviticin	cluster12	993	pafB	Protein PafB
total.lomaiviticin.cluster13.aln	clade6	0	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster13.aln	clade8	8.31620553359684	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster13.aln	clade1	0.696969696969697	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster13.aln	clade2	7	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster13.aln	clade10	0	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster13.aln	clade5	0	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster13.aln	clade7	28	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster13.aln	clade4	0	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster13.aln	clade3	0	lomaiviticin	cluster13	1002	HADAGDMH_03358	hypothetical protein
total.lomaiviticin.cluster14.aln	clade2	3	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster14.aln	clade10	0	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster14.aln	clade5	0	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster14.aln	clade7	20.6666666666667	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster14.aln	clade3	0	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster14.aln	clade1	3.10606060606061	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster14.aln	clade6	0	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster14.aln	clade8	5.39130434782609	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster14.aln	clade4	0	lomaiviticin	cluster14	1014	gfo	Glucose--fructose oxidoreductase
total.lomaiviticin.cluster15.aln	clade2	1	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster15.aln	clade3	0	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster15.aln	clade5	0	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster15.aln	clade7	5.33333333333333	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster15.aln	clade10	0	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster15.aln	clade4	0	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster15.aln	clade6	0	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster15.aln	clade8	1.67588932806324	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster15.aln	clade1	0	lomaiviticin	cluster15	324	HHFHFFJP_01338	hypothetical protein
total.lomaiviticin.cluster16.aln	clade3	0	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster16.aln	clade8	4.72727272727273	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster16.aln	clade4	0	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster16.aln	clade5	0	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster16.aln	clade10	0	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster16.aln	clade1	0.5	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster16.aln	clade6	0	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster16.aln	clade7	18	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster16.aln	clade2	3	lomaiviticin	cluster16	738	JPECDPKM_00483	hypothetical protein
total.lomaiviticin.cluster17.aln	clade10	0	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster17.aln	clade2	6	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster17.aln	clade1	0.5	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster17.aln	clade4	0	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster17.aln	clade6	0	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster17.aln	clade3	0	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster17.aln	clade5	0	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster17.aln	clade8	3.54940711462451	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster17.aln	clade7	10.6666666666667	lomaiviticin	cluster17	771	gph_7	Phosphoglycolate phosphatase
total.lomaiviticin.cluster18.aln	clade4	0	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster18.aln	clade10	0	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster18.aln	clade1	1.03030303030303	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster18.aln	clade5	0	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster18.aln	clade2	2	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster18.aln	clade3	0	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster18.aln	clade6	0	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster18.aln	clade7	15.3333333333333	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster18.aln	clade8	4.22134387351779	lomaiviticin	cluster18	612	gerF	dTDP-4-dehydro-6-deoxyglucose 3-epimerase
total.lomaiviticin.cluster19.aln	clade10	0	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster19.aln	clade2	0	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster19.aln	clade1	0.909090909090909	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster19.aln	clade4	0	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster19.aln	clade7	2	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster19.aln	clade3	0	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster19.aln	clade5	0	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster19.aln	clade6	0	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster19.aln	clade8	2.22924901185771	lomaiviticin	cluster19	543	KNEBLNGO_01204	hypothetical protein
total.lomaiviticin.cluster2.aln	clade8	17.201581027668	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster2.aln	clade1	0.575757575757576	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster2.aln	clade3	0	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster2.aln	clade4	0	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster2.aln	clade10	0	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster2.aln	clade2	1	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster2.aln	clade7	16.6666666666667	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster2.aln	clade5	0	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster2.aln	clade6	0	lomaiviticin	cluster2	975	prcB	Proteasome subunit beta
total.lomaiviticin.cluster20.aln	clade1	1.59090909090909	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster20.aln	clade2	5	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster20.aln	clade4	0	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster20.aln	clade6	0	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster20.aln	clade10	0	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster20.aln	clade3	0	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster20.aln	clade5	0	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster20.aln	clade7	15.3333333333333	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster20.aln	clade8	6.11067193675889	lomaiviticin	cluster20	573	HHFHFFJP_01349	hypothetical protein
total.lomaiviticin.cluster21.aln	clade2	0	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster21.aln	clade7	4	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster21.aln	clade3	0	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster21.aln	clade4	0	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster21.aln	clade8	1.22529644268775	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster21.aln	clade5	0	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster21.aln	clade6	0	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster21.aln	clade10	0	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster21.aln	clade1	0.166666666666667	lomaiviticin	cluster21	432	KNPGFKEA_03448	hypothetical protein
total.lomaiviticin.cluster22.aln	clade6	0	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster22.aln	clade8	1.86561264822134	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster22.aln	clade5	0	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster22.aln	clade2	0	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster22.aln	clade3	0	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster22.aln	clade7	8.66666666666667	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster22.aln	clade4	0	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster22.aln	clade10	0	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster22.aln	clade1	0	lomaiviticin	cluster22	321	hcaC_2	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
total.lomaiviticin.cluster23.aln	clade10	0	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster23.aln	clade8	5.75494071146245	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster23.aln	clade3	0	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster23.aln	clade5	0	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster23.aln	clade2	4	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster23.aln	clade7	14	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster23.aln	clade1	0.712121212121212	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster23.aln	clade4	0	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster23.aln	clade6	0	lomaiviticin	cluster23	873	rfbA	Glucose-1-phosphate thymidylyltransferase 1
total.lomaiviticin.cluster24.aln	clade10	0	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster24.aln	clade3	0	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster24.aln	clade5	0	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster24.aln	clade1	3.5	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster24.aln	clade2	3	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster24.aln	clade4	0	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster24.aln	clade7	21.3333333333333	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster24.aln	clade6	0	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster24.aln	clade8	5.72332015810277	lomaiviticin	cluster24	942	MKOOBEOE_02293	hypothetical protein
total.lomaiviticin.cluster25.aln	clade3	0	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster25.aln	clade10	0	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster25.aln	clade4	0	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster25.aln	clade1	1.16666666666667	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster25.aln	clade2	3	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster25.aln	clade5	0	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster25.aln	clade6	0	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster25.aln	clade8	5.24110671936759	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster25.aln	clade7	18.6666666666667	lomaiviticin	cluster25	948	JPECDPKM_00445	5-3 exonuclease
total.lomaiviticin.cluster26.aln	clade10	0	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster26.aln	clade2	0	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster26.aln	clade3	0	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster26.aln	clade1	0.166666666666667	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster26.aln	clade8	1.20948616600791	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster26.aln	clade4	0	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster26.aln	clade5	0	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster26.aln	clade6	0	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster26.aln	clade7	5.33333333333333	lomaiviticin	cluster26	309	tatA	Sec-independent protein translocase protein TatA
total.lomaiviticin.cluster27.aln	clade1	0.954545454545454	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster27.aln	clade2	3	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster27.aln	clade3	0	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster27.aln	clade6	0	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster27.aln	clade8	8.62450592885375	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster27.aln	clade4	0	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster27.aln	clade10	0	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster27.aln	clade7	19.3333333333333	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster27.aln	clade5	0	lomaiviticin	cluster27	795	prcA	Proteasome subunit alpha
total.lomaiviticin.cluster28.aln	clade1	0.984848484848485	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster28.aln	clade2	0	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster28.aln	clade10	0	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster28.aln	clade6	0	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster28.aln	clade8	8.3399209486166	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster28.aln	clade3	0	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster28.aln	clade5	0	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster28.aln	clade7	10	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster28.aln	clade4	0	lomaiviticin	cluster28	831	btuD_4	Vitamin B12 import ATP-binding protein BtuD
total.lomaiviticin.cluster29.aln	clade2	1	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster29.aln	clade3	0	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster29.aln	clade1	2.09090909090909	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster29.aln	clade6	0	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster29.aln	clade8	4.27667984189723	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster29.aln	clade4	0	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster29.aln	clade5	0	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster29.aln	clade7	18	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster29.aln	clade10	0	lomaiviticin	cluster29	840	KNPGFKEA_03447	hypothetical protein
total.lomaiviticin.cluster3.aln	clade6	0	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster3.aln	clade2	4	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster3.aln	clade7	11.3333333333333	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster3.aln	clade5	0	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster3.aln	clade4	0	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster3.aln	clade10	0	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster3.aln	clade3	0	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster3.aln	clade8	5.82608695652174	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster3.aln	clade1	1.13636363636364	lomaiviticin	cluster3	966	trmI	tRNA (adenine(58)-N(1))-methyltransferase TrmI
total.lomaiviticin.cluster30.aln	clade2	1	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
total.lomaiviticin.cluster30.aln	clade8	1.23320158102767	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
total.lomaiviticin.cluster30.aln	clade1	0.696969696969697	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
total.lomaiviticin.cluster30.aln	clade3	0	lomaiviticin	cluster30	216	pup	Prokaryotic ubiquitin-like protein Pup
