MZRT	runID	strainID	replicate	clade_name	clade_color
V36_CNY673_A	CNY673A	SpCNY673_MD	A	oceanensis	#00FFFF
V41_CNY673_B	CNY673B	SpCNY673_MD	B	oceanensis	#00FFFF
V45_CNY673_C	CNY673C	SpCNY673_MD	C	oceanensis	#00FFFF
V25_CNT148_A	CNT148A	SpDSM45548_FJ	A	vitiensis	#006400
V3_CNT148_B	CNT148B	SpDSM45548_FJ	B	vitiensis	#006400
V29_CNT148_C	CNT148C	SpDSM45548_FJ	C	vitiensis	#006400
V42_CNT150_A	CNT150A	SpDSM45549_FJ	A	mooreana	#B752FF
V11_CNT150_B	CNT150B	SpDSM45549_FJ	B	mooreana	#B752FF
V5_CNT150_C	CNT150C	SpDSM45549_FJ	C	mooreana	#B752FF
V7_CNB440_A	CNB440A	StCNB440_BA	A	tropica	#FF6A6A
V15_CNB440_B	CNB440B	StCNB440_BA	B	tropica	#FF6A6A
V37_CNB440_C	CNB440C	StCNB440_BA	C	tropica	#FF6A6A
V87_CNS416_D	CNS416D	StCNS416_BA	A	tropica	#FF6A6A
V83_CNS416_E	CNS416E	StCNS416_BA	B	tropica	#FF6A6A
V90_CNS416_F	CNS416F	StCNS416_BA	C	tropica	#FF6A6A
V40_CNY681_A	CNY681A	StCNY681_YU	A	tropica	#FF6A6A
V34_CNY681_B	CNY681B	StCNY681_YU	B	tropica	#FF6A6A
V57_CNY681_C	CNY681C	StCNY681_YU	C	tropica	#FF6A6A
X0_LomaiviticinC	lomC	lomC	S	standard	#000000
X0_Lymphostin	lym	lym	S	standard	#000000
X0_V79_Media_A	MediaA	Media	A	media	#C3C3C3
X0_V77_Media_B	MediaB	Media	B	media	#C3C3C3
X0_V74_Media_C	MediaC	Media	C	media	#C3C3C3
X0_NeolymphostinA	neolymA	neolymA	S	standard	#000000
X0_RifamycinW	rifW	rifW	S	standard	#000000
X0_SalinosporamideA	salA	salA	S	standard	#000000
X0_SalinosporamideB	salB	salB	S	standard	#000000
X0_SalinipostinC	sptC	sptC	S	standard	#000000
X0_SalinipostinEC	sptEC	sptEC	S	standard	#000000
X0_SalinipostinFrac	sptfrac	sptfrac	S	standard	#000000
X0_SalinipostinH	sptH	sptH	S	standard	#000000
X0_Staurosporine	sta	sta	S	standard	#000000
X0_ColumnWash1	Wash	Wash	W	control	#F300FF
