Id,Label,clade,size,gcf.num,modularity_class
SaCNP193_SC.contig_5.region001,SaCNP193_SC_c5_001,arenicola,1,GCF2045,M0
SaCNT799_HI.contig_11.region001,SaCNT799_HI_c11_001,arenicola,1,GCF2045,M0
SaCNS243_PL.contig_6.region001,SaCNS243_PL_c6_001,arenicola,1,GCF2045,M0
SaCNX891_PM.contig_5.region002,SaCNX891_PM_c5_002,arenicola,1,GCF2045,M0
SaCNR921_PL.contig_0.region004,SaCNR921_PL_c0_004,arenicola,1,GCF2045,M0
SaCNR425_GU.contig_7.region001,SaCNR425_GU_c7_001,arenicola,1,GCF2045,M0
SpDSM45543_FJ.contig_0.region008,SpDSM45543_FJ_c0_008,oceanensis,1,GCF4222,M0
SaCNT800_HI.contig_6.region001,SaCNT800_HI_c6_001,arenicola,1,GCF2045,M0
SaCNS325_PL.contig_7.region001,SaCNS325_PL_c7_001,arenicola,1,GCF2045,M0
SaCNY256_FJ.contig_9.region001,SaCNY256_FJ_c9_001,arenicola,1,GCF2045,M0
SaCNQ748_GU.contig_8.region001,SaCNQ748_GU_c8_001,arenicola,1,GCF2045,M0
SaCNH941_SC.contig_6.region001,SaCNH941_SC_c6_001,arenicola,1,GCF2045,M0
SaDSM45545_FJ.contig_0.region005,SaDSM45545_FJ_c0_005,arenicola,1,GCF2045,M0
SaCNH964_SC.contig_7.region001,SaCNH964_SC_c7_001,arenicola,1,GCF2045,M0
SaCNS205_PL.contig_0.region012,SaCNS205_PL_c0_012,arenicola,1,GCF2045,M0
SaCNY237_FJ.contig_3.region002,SaCNY237_FJ_c3_002,arenicola,1,GCF2045,M0
SaCNX482_PM.contig_3.region002,SaCNX482_PM_c3_002,arenicola,1,GCF2045,M0
SaCNT849_HI.contig_7.region001,SaCNT849_HI_c7_001,arenicola,1,GCF2045,M0
SaCNY679_YU.contig_7.region001,SaCNY679_YU_c7_001,arenicola,1,GCF2045,M0
SaCNS848_FJ.contig_6.region001,SaCNS848_FJ_c6_001,arenicola,1,GCF2045,M0
SpDSM45547_FJ.contig_0.region014,SpDSM45547_FJ_c0_014,oceanensis,1,GCF4222,M0
SaCNT859_HI.contig_19.region001,SaCNT859_HI_c19_001,arenicola,1,GCF2045,M0
SaCNH905_BA.contig_7.region001,SaCNH905_BA_c7_001,arenicola,1,GCF2045,M0
SaCNB458_BA.contig_5.region001,SaCNB458_BA_c5_001,arenicola,1,GCF2045,M0
SaCNH877_BA.contig_6.region001,SaCNH877_BA_c6_001,arenicola,1,GCF2045,M0
SaCNS342_FJ.contig_7.region001,SaCNS342_FJ_c7_001,arenicola,1,GCF2045,M0
SpCNT029_FJ.contig_0.region003,SpCNT029_FJ_c0_003,oceanensis,1,GCF4222,M0
SpCNT854_HI.contig_2.region002,SpCNT854_HI_c2_002,oceanensis,1,GCF4222,M0
SaCNH646_BA.contig_8.region001,SaCNH646_BA_c8_001,arenicola,1,GCF2045,M0
SaCNT798_HI.contig_6.region001,SaCNT798_HI_c6_001,arenicola,1,GCF2045,M0
SaCNY486_PV.contig_7.region001,SaCNY486_PV_c7_001,arenicola,1,GCF2045,M0
SaCNY244_FJ.contig_0.region001,SaCNY244_FJ_c0_001,arenicola,1,GCF2045,M0
SaCNH643_BA.contig_7.region001,SaCNH643_BA_c7_001,arenicola,1,GCF2045,M0
SaCNS296_PL.contig_7.region001,SaCNS296_PL_c7_001,arenicola,1,GCF2045,M0
SaCNS051_PL.contig_4.region001,SaCNS051_PL_c4_001,arenicola,1,GCF2045,M0
SpCNS860_FJ.contig_8.region001,SpCNS860_FJ_c8_001,oceanensis,1,GCF4222,M0
SpCNT045_FJ.contig_0.region003,SpCNT045_FJ_c0_003,oceanensis,1,GCF4222,M0
SaCNH718_RS.contig_5.region001,SaCNH718_RS_c5_001,arenicola,1,GCF2045,M0
SpCNY673_MD.contig_6.region001,SpCNY673_MD_c6_001,oceanensis,1,GCF4222,M0
SpCNY703_MD.contig_2.region001,SpCNY703_MD_c2_001,oceanensis,1,GCF4222,M0
SaCNS299_PL.contig_7.region001,SaCNS299_PL_c7_001,arenicola,1,GCF2045,M0
SpCNY646_RS.contig_3.region002,SpCNY646_RS_c3_002,mooreana,1,GCF4222,M0
SaCNH905_BA.contig_2.region002,SaCNH905_BA_c2_002,arenicola,1,GCF2047,M1
SaCNY011_BA.contig_7.region001,SaCNY011_BA_c7_001,arenicola,1,GCF2047,M1
SaCNR921_PL.contig_2.region002,SaCNR921_PL_c2_002,arenicola,1,GCF2047,M1
SaCNS744_FJ.contig_2.region003,SaCNS744_FJ_c2_003,arenicola,1,GCF2047,M1
SaCNY256_FJ.contig_4.region002,SaCNY256_FJ_c4_002,arenicola,1,GCF2047,M1
SaCNR425_GU.contig_1.region003,SaCNR425_GU_c1_003,arenicola,1,GCF2047,M1
SaCNY486_PV.contig_1.region001,SaCNY486_PV_c1_001,arenicola,1,GCF2047,M1
SaCNH964_SC.contig_6.region001,SaCNH964_SC_c6_001,arenicola,1,GCF2047,M1
SaCNS848_FJ.contig_1.region002,SaCNS848_FJ_c1_002,arenicola,1,GCF2047,M1
SaCNY237_FJ.contig_1.region002,SaCNY237_FJ_c1_002,arenicola,1,GCF2047,M1
SaCNH643_BA.contig_1.region006,SaCNH643_BA_c1_006,arenicola,1,GCF2047,M1
SaCNS243_PL.contig_1.region004,SaCNS243_PL_c1_004,arenicola,1,GCF2047,M1
SaCNS205_PL.contig_0.region018,SaCNS205_PL_c0_018,arenicola,1,GCF2047,M1
SaCNS325_PL.contig_4.region001,SaCNS325_PL_c4_001,arenicola,1,GCF2047,M1
SaCNH996B_SC.contig_1.region001,SaCNH996B_SC_c1_001,arenicola,1,GCF2047,M1
SaCNT857_HI.contig_5.region001,SaCNT857_HI_c5_001,arenicola,1,GCF2047,M1
SaCNR107_GU.contig_2.region006,SaCNR107_GU_c2_006,arenicola,1,GCF2047,M1
SaCNS820_FJ.contig_0.region004,SaCNS820_FJ_c0_004,arenicola,1,GCF2047,M1
SaCNY230_FJ.contig_1.region003,SaCNY230_FJ_c1_003,arenicola,1,GCF2047,M1
SaCNY679_YU.contig_6.region001,SaCNY679_YU_c6_001,arenicola,1,GCF2047,M1
SaCNH646_BA.contig_0.region002,SaCNH646_BA_c0_002,arenicola,1,GCF2047,M1
SaCNQ748_GU.contig_6.region002,SaCNQ748_GU_c6_002,arenicola,1,GCF2047,M1
SaCNH941_SC.contig_7.region002,SaCNH941_SC_c7_002,arenicola,1,GCF2047,M1
SaCNQ884_GU.contig_4.region002,SaCNQ884_GU_c4_002,arenicola,1,GCF2047,M1
SaCNB527_BA.contig_13.region001,SaCNB527_BA_c13_001,arenicola,1,GCF2047,M1
SaCNY280_FJ.contig_2.region002,SaCNY280_FJ_c2_002,arenicola,1,GCF2047,M1
SaCNT800_HI.contig_1.region001,SaCNT800_HI_c1_001,arenicola,1,GCF2047,M1
SaCNY694_YU.contig_2.region001,SaCNY694_YU_c2_001,arenicola,1,GCF2047,M1
SaCNY231_FJ.contig_3.region002,SaCNY231_FJ_c3_002,arenicola,1,GCF2047,M1
SaCNY685_YU.contig_7.region001,SaCNY685_YU_c7_001,arenicola,1,GCF2047,M1
SaCNB458_BA.contig_3.region002,SaCNB458_BA_c3_002,arenicola,1,GCF2047,M1
SaCNP105_SC.contig_6.region001,SaCNP105_SC_c6_001,arenicola,1,GCF2047,M1
SaCNH713_RS.contig_0.region002,SaCNH713_RS_c0_002,arenicola,1,GCF2047,M1
SaCNH963_SC.contig_5.region002,SaCNH963_SC_c5_002,arenicola,1,GCF2047,M1
SaCNH962_SC.contig_4.region001,SaCNH962_SC_c4_001,arenicola,1,GCF2047,M1
SaCNS296_PL.contig_6.region001,SaCNS296_PL_c6_001,arenicola,1,GCF2047,M1
SaCNT798_HI.contig_4.region001,SaCNT798_HI_c4_001,arenicola,1,GCF2047,M1
SaCNT850_HI.contig_9.region001,SaCNT850_HI_c9_001,arenicola,1,GCF2047,M1
SaCNY234_FJ.contig_2.region003,SaCNY234_FJ_c2_003,arenicola,1,GCF2047,M1
SaCNY244_FJ.contig_2.region004,SaCNY244_FJ_c2_004,arenicola,1,GCF2047,M1
SaCNY282_FJ.contig_2.region002,SaCNY282_FJ_c2_002,arenicola,1,GCF2047,M1
SaCNH996_SC.contig_1.region003,SaCNH996_SC_c1_003,arenicola,1,GCF2047,M1
SaCNP193_SC.contig_6.region002,SaCNP193_SC_c6_002,arenicola,1,GCF2047,M1
SaCNY690_YU.contig_2.region001,SaCNY690_YU_c2_001,arenicola,1,GCF2047,M1
SaCNS673_FJ.contig_4.region002,SaCNS673_FJ_c4_002,arenicola,1,GCF2047,M1
SaCNT799_HI.contig_8.region001,SaCNT799_HI_c8_001,arenicola,1,GCF2047,M1
SaCNT005_FJ.contig_4.region001,SaCNT005_FJ_c4_001,arenicola,1,GCF2047,M1
SaCNS342_FJ.contig_2.region003,SaCNS342_FJ_c2_003,arenicola,1,GCF2047,M1
SaCNH718_RS.contig_2.region003,SaCNH718_RS_c2_003,arenicola,1,GCF2047,M1
SaCNS051_PL.contig_2.region002,SaCNS051_PL_c2_002,arenicola,1,GCF2047,M1
SaCNS299_PL.contig_0.region003,SaCNS299_PL_c0_003,arenicola,1,GCF2047,M1
SaCNT849_HI.contig_4.region002,SaCNT849_HI_c4_002,arenicola,1,GCF2047,M1
SaCNY260_FJ.contig_2.region004,SaCNY260_FJ_c2_004,arenicola,1,GCF2047,M1
SaDSM45545_FJ.contig_0.region011,SaDSM45545_FJ_c0_011,arenicola,1,GCF2047,M1
SaCNT859_HI.contig_2.region002,SaCNT859_HI_c2_002,arenicola,1,GCF2047,M1
SaCNH877_BA.contig_4.region002,SaCNH877_BA_c4_002,arenicola,1,GCF2047,M1
SaCNH905_BA.contig_25.region001,SaCNH905_BA_c25_001,arenicola,1,GCF4061,M2
SaCNS820_FJ.contig_0.region001,SaCNS820_FJ_c0_001,arenicola,1,GCF3248,M2
SpCNQ768_GU.contig_19.region001,SpCNQ768_GU_c19_001,pacifica,1,GCF3894,M2
SpCNR114_GU.contig_25.region001,SpCNR114_GU_c25_001,pacifica,1,GCF3894,M2
SpCNH732_RS.contig_7.region001,SpCNH732_RS_c7_001,pacifica,1,GCF4020,M2
SpCNT851_HI.contig_15.region001,SpCNT851_HI_c15_001,pacifica,1,GCF4020,M2
SaCNX814_PM.contig_20.region001,SaCNX814_PM_c20_001,arenicola,1,GCF3248,M2
SaCNP193_SC.contig_17.region001,SaCNP193_SC_c17_001,arenicola,1,GCF3248,M2
StCNS416_BA.contig_35.region001,StCNS416_BA_c35_001,tropica,1,GCF1429,M2
SaCNT849_HI.contig_4.region001,SaCNT849_HI_c4_001,arenicola,1,GCF1429,M2
SaCNH996B_SC.contig_48.region001,SaCNH996B_SC_c48_001,arenicola,1,GCF1429,M2
StCNB536_BA.contig_33.region001,StCNB536_BA_c33_001,tropica,1,GCF1429,M2
SaCNX891_PM.contig_38.region001,SaCNX891_PM_c38_001,arenicola,1,GCF3248,M2
SpCNY239_FJ.contig_13.region001,SpCNY239_FJ_c13_001,pacifica,1,GCF4020,M2
StCNY012_BA.contig_42.region001,StCNY012_BA_c42_001,tropica,1,GCF1429,M2
SaCNT857_HI.contig_13.region001,SaCNT857_HI_c13_001,arenicola,1,GCF3248,M2
SpCNT603_FJ.contig_11.region001,SpCNT603_FJ_c11_001,pacifica,1,GCF4020,M2
SpDSM45543_FJ.contig_0.region006,SpDSM45543_FJ_c0_006,oceanensis,1,GCF4061,M2
SpCNT131_FJ.contig_9.region001,SpCNT131_FJ_c9_001,pacifica,1,GCF4020,M2
SpDSM45544_FJ.contig_0.region021,SpDSM45544_FJ_c0_021,pacifica,1,GCF4020,M2
SaCNT005_FJ.contig_28.region001,SaCNT005_FJ_c28_001,arenicola,1,GCF3248,M2
SaCNT799_HI.contig_28.region001,SaCNT799_HI_c28_001,arenicola,1,GCF3248,M2
SpCNH732_RS.contig_8.region002,SpCNH732_RS_c8_002,pacifica,1,GCF3894,M2
SpCNY239_FJ.contig_48.region001,SpCNY239_FJ_c48_001,pacifica,1,GCF3894,M2
SaCNB458_BA.contig_53.region001,SaCNB458_BA_c53_001,arenicola,1,GCF1947,M2
SaCNX508_PM.contig_43.region001,SaCNX508_PM_c43_001,arenicola,1,GCF3248,M2
SaCNH941_SC.contig_39.region001,SaCNH941_SC_c39_001,arenicola,1,GCF3248,M2
SaCNQ748_GU.contig_35.region001,SaCNQ748_GU_c35_001,arenicola,1,GCF3248,M2
BGC0001458.1,Salinipostin,knownBGC,5,GCF1429,M2
SaCNR107_GU.contig_16.region001,SaCNR107_GU_c16_001,arenicola,1,GCF3248,M2
SpCNT029_FJ.contig_0.region001,SpCNT029_FJ_c0_001,oceanensis,1,GCF1947,M2
SpCNT403_FJ.contig_27.region001,SpCNT403_FJ_c27_001,oceanensis,1,GCF4061,M2
SaCNS205_PL.contig_0.region021,SaCNS205_PL_c0_021,arenicola,1,GCF3248,M2
SaCNR425_GU.contig_24.region001,SaCNR425_GU_c24_001,arenicola,1,GCF3248,M2
SaCNT800_HI.contig_1.region002,SaCNT800_HI_c1_002,arenicola,1,GCF1429,M2
SpCNT084_FJ.contig_30.region001,SpCNT084_FJ_c30_001,pacifica,1,GCF4020,M2
SpCNY202_SC.contig_62.region001,SpCNY202_SC_c62_001,cortesiana,1,GCF4061,M2
SpCNT796_HI.contig_19.region001,SpCNT796_HI_c19_001,pacifica,1,GCF3894,M2
SaCNT850_HI.contig_30.region001,SaCNT850_HI_c30_001,arenicola,1,GCF3248,M2
SaCNY234_FJ.contig_29.region001,SaCNY234_FJ_c29_001,arenicola,1,GCF3248,M2
SaCNY231_FJ.contig_14.region003,SaCNY231_FJ_c14_003,arenicola,1,GCF3248,M2
SaCNH646_BA.contig_0.region001,SaCNH646_BA_c0_001,arenicola,1,GCF1947,M2
SaCNT859_HI.contig_10.region001,SaCNT859_HI_c10_001,arenicola,1,GCF3248,M2
SaCNS299_PL.contig_34.region001,SaCNS299_PL_c34_001,arenicola,1,GCF3248,M2
SaCNY280_FJ.contig_34.region001,SaCNY280_FJ_c34_001,arenicola,1,GCF1429,M2
SaCNR921_PL.contig_2.region005,SaCNR921_PL_c2_005,arenicola,1,GCF1429,M2
SpDSM45547_FJ.contig_0.region011,SpDSM45547_FJ_c0_011,oceanensis,1,GCF4061,M2
SaCNH718_RS.contig_20.region001,SaCNH718_RS_c20_001,arenicola,1,GCF1947,M2
SaCNY237_FJ.contig_1.region005,SaCNY237_FJ_c1_005,arenicola,1,GCF3248,M2
StCNR699_BA.contig_9.region001,StCNR699_BA_c9_001,tropica,1,GCF1429,M2
SpDSM45549_FJ.contig_0.region010,SpDSM45549_FJ_c0_010,mooreana,1,GCF1429,M2
SaCNY260_FJ.contig_2.region001,SaCNY260_FJ_c2_001,arenicola,1,GCF1947,M2
SpCNY498_PV.contig_14.region002,SpCNY498_PV_c14_002,pacifica,1,GCF4020,M2
SpCNS055_PL.contig_0.region009,SpCNS055_PL_c0_009,vitiensis,1,GCF3894,M2
SpCNY363_SC.contig_38.region001,SpCNY363_SC_c38_001,pacifica,1,GCF4020,M2
SpCNY703_MD.contig_56.region001,SpCNY703_MD_c56_001,oceanensis,1,GCF4061,M2
SaCNB527_BA.contig_31.region001,SaCNB527_BA_c31_001,arenicola,1,GCF1947,M2
SpCNR510_GU.contig_11.region002,SpCNR510_GU_c11_002,pacifica,1,GCF4020,M2
StCNH898_BA.contig_30.region001,StCNH898_BA_c30_001,tropica,1,GCF1429,M2
SpCNR894_PL.contig_3.region002,SpCNR894_PL_c3_002,pacifica,1,GCF4020,M2
SaCNS848_FJ.contig_30.region001,SaCNS848_FJ_c30_001,arenicola,1,GCF1429,M2
SaCNY486_PV.contig_8.region001,SaCNY486_PV_c8_001,arenicola,1,GCF1429,M2
SaCNS051_PL.contig_18.region001,SaCNS051_PL_c18_001,arenicola,1,GCF3248,M2
SaCNS744_FJ.contig_26.region001,SaCNS744_FJ_c26_001,arenicola,1,GCF3248,M2
SpCNT796_HI.contig_15.region002,SpCNT796_HI_c15_002,pacifica,1,GCF4020,M2
SaCNH713_RS.contig_0.region001,SaCNH713_RS_c0_001,arenicola,1,GCF1947,M2
SpCNY646_RS.contig_4.region002,SpCNY646_RS_c4_002,mooreana,1,GCF4020,M2
SaCNY230_FJ.contig_29.region001,SaCNY230_FJ_c29_001,arenicola,1,GCF3248,M2
SaCNH963_SC.contig_17.region001,SaCNH963_SC_c17_001,arenicola,1,GCF1429,M2
StCNY681_YU.contig_25.region001,StCNY681_YU_c25_001,tropica,1,GCF1429,M2
StCNS197_BA.contig_10.region001,StCNS197_BA_c10_001,tropica,1,GCF1429,M2
SaCNQ884_GU.contig_33.region001,SaCNQ884_GU_c33_001,arenicola,1,GCF3248,M2
SaCNY256_FJ.contig_19.region001,SaCNY256_FJ_c19_001,arenicola,1,GCF1947,M2
SaCNX481_PM.contig_19.region001,SaCNX481_PM_c19_001,arenicola,1,GCF3248,M2
SaCNX482_PM.contig_8.region003,SaCNX482_PM_c8_003,arenicola,1,GCF3248,M2
SaCNY244_FJ.contig_2.region001,SaCNY244_FJ_c2_001,arenicola,1,GCF3248,M2
SaCNH877_BA.contig_13.region001,SaCNH877_BA_c13_001,arenicola,1,GCF4061,M2
SpCNT609_FJ.contig_15.region001,SpCNT609_FJ_c15_001,pacifica,1,GCF1429,M2
SaCNH962_SC.contig_17.region001,SaCNH962_SC_c17_001,arenicola,1,GCF1429,M2
SpCNR894_PL.contig_29.region001,SpCNR894_PL_c29_001,pacifica,1,GCF3894,M2
SpCNT001_FJ.contig_14.region001,SpCNT001_FJ_c14_001,pacifica,1,GCF3894,M2
SpCNT029_FJ.contig_0.region002,SpCNT029_FJ_c0_002,oceanensis,1,GCF4077,M2
SpCNT569_FJ.contig_1.region001,SpCNT569_FJ_c1_001,fenicalii,1,GCF4077,M2
SpCNS103_PL.contig_18.region001,SpCNS103_PL_c18_001,pacifica,1,GCF3894,M2
SaCNH964_SC.contig_6.region002,SaCNH964_SC_c6_002,arenicola,1,GCF3248,M2
SpCNS237_PL.contig_5.region002,SpCNS237_PL_c5_002,mooreana,1,GCF4020,M2
SaCNY685_YU.contig_48.region001,SaCNY685_YU_c48_001,arenicola,1,GCF1429,M2
SpCNS860_FJ.contig_18.region002,SpCNS860_FJ_c18_002,oceanensis,1,GCF4061,M2
StCNT250_BA.contig_27.region001,StCNT250_BA_c27_001,tropica,1,GCF1429,M2
StCNB440_BA.contig_0.region015,StCNB440_BA_c0_015,tropica,1,GCF1429,M2
SaCNS243_PL.contig_1.region001,SaCNS243_PL_c1_001,arenicola,1,GCF1429,M2
SaCNS342_FJ.contig_34.region001,SaCNS342_FJ_c34_001,arenicola,1,GCF3248,M2
SpCNT124_FJ.contig_17.region001,SpCNT124_FJ_c17_001,oceanensis,1,GCF4020,M2
SpCNY331_SC.contig_14.region001,SpCNY331_SC_c14_001,pacifica,1,GCF4020,M2
StCNT261_BA.contig_25.region001,StCNT261_BA_c25_001,tropica,1,GCF1429,M2
SaCNY679_YU.contig_13.region001,SaCNY679_YU_c13_001,arenicola,1,GCF1947,M2
SpCNT584_FJ.contig_37.region001,SpCNT584_FJ_c37_001,oceanensis,1,GCF4061,M2
SpCNT003_FJ.contig_22.region001,SpCNT003_FJ_c22_001,pacifica,1,GCF4020,M2
SaCNY282_FJ.contig_15.region001,SaCNY282_FJ_c15_001,arenicola,1,GCF1429,M2
SpCNQ768_GU.contig_6.region002,SpCNQ768_GU_c6_002,pacifica,1,GCF4020,M2
SaDSM45545_FJ.contig_0.region013,SaDSM45545_FJ_c0_013,arenicola,1,GCF1947,M2
SpCNT855_HI.contig_21.region002,SpCNT855_HI_c21_002,pacifica,1,GCF4020,M2
SpCNT854_HI.contig_33.region001,SpCNT854_HI_c33_001,oceanensis,1,GCF4061,M2
SpCNY666_MD.contig_27.region001,SpCNY666_MD_c27_001,goodfellowii,1,GCF4061,M2
StCNB476_BA.contig_35.region001,StCNB476_BA_c35_001,tropica,1,GCF1429,M2
SaCNY011_BA.contig_30.region001,SaCNY011_BA_c30_001,arenicola,1,GCF1429,M2
SaCNH996_SC.contig_43.region001,SaCNH996_SC_c43_001,arenicola,1,GCF1429,M2
SpCNY673_MD.contig_67.region001,SpCNY673_MD_c67_001,oceanensis,1,GCF4061,M2
SpCNT854_HI.contig_49.region001,SpCNT854_HI_c49_001,oceanensis,1,GCF4061,M2
SaCNS673_FJ.contig_17.region001,SaCNS673_FJ_c17_001,arenicola,1,GCF3248,M2
SpCNY498_PV.contig_31.region001,SpCNY498_PV_c31_001,pacifica,1,GCF3894,M2
SaCNY694_YU.contig_48.region001,SaCNY694_YU_c48_001,arenicola,1,GCF1947,M2
SpCNR114_GU.contig_45.region001,SpCNR114_GU_c45_001,pacifica,1,GCF4020,M2
SpCNT133_FJ.contig_36.region001,SpCNT133_FJ_c36_001,pacifica,1,GCF4061,M2
SaCNP105_SC.contig_6.region002,SaCNP105_SC_c6_002,arenicola,1,GCF3248,M2
SaCNS325_PL.contig_15.region003,SaCNS325_PL_c15_003,arenicola,1,GCF3248,M2
SpCNT001_FJ.contig_23.region001,SpCNT001_FJ_c23_001,pacifica,1,GCF4020,M2
SpCNT003_FJ.contig_73.region001,SpCNT003_FJ_c73_001,pacifica,1,GCF3894,M2
SpCNR909_PL.contig_37.region001,SpCNR909_PL_c37_001,pacifica,1,GCF4020,M2
SpCNS103_PL.contig_6.region001,SpCNS103_PL_c6_001,pacifica,1,GCF4020,M2
SpCNY330_SC.contig_18.region001,SpCNY330_SC_c18_001,pacifica,1,GCF4020,M2
SaCNT798_HI.contig_24.region001,SaCNT798_HI_c24_001,arenicola,1,GCF1429,M2
SpCNY330_SC.contig_31.region001,SpCNY330_SC_c31_001,pacifica,1,GCF3894,M2
SpCNY673_MD.contig_53.region001,SpCNY673_MD_c53_001,oceanensis,1,GCF4061,M2
SpCNT045_FJ.contig_32.region001,SpCNT045_FJ_c32_001,oceanensis,1,GCF4061,M2
SaCNH643_BA.contig_36.region001,SaCNH643_BA_c36_001,arenicola,1,GCF1947,M2
SaCNY690_YU.contig_44.region001,SaCNY690_YU_c44_001,arenicola,1,GCF1947,M2
SpCNS996_FJ.contig_40.region001,SpCNS996_FJ_c40_001,oceanensis,1,GCF4061,M2
StCNY678_YU.contig_23.region001,StCNY678_YU_c23_001,tropica,1,GCF1429,M2
SpCNT855_HI.contig_32.region001,SpCNT855_HI_c32_001,pacifica,1,GCF3894,M2
SpDSM45548_FJ.contig_1.region001,SpDSM45548_FJ_c1_001,vitiensis,1,GCF4061,M2
SpCNR942_PL.contig_9.region002,SpCNR942_PL_c9_002,fenicalii,1,GCF4077,M2
SpCNT584_FJ.contig_27.region001,SpCNT584_FJ_c27_001,oceanensis,1,GCF4061,M2
SpDSM45543_FJ.contig_0.region007,SpDSM45543_FJ_c0_007,oceanensis,1,GCF3933,M2
SpCNY703_MD.contig_35.region001,SpCNY703_MD_c35_001,oceanensis,1,GCF4061,M2
SpCNS860_FJ.contig_18.region001,SpCNS860_FJ_c18_001,oceanensis,1,GCF3933,M2
SpCNT851_HI.contig_21.region001,SpCNT851_HI_c21_001,pacifica,1,GCF3894,M2
SpCNR510_GU.contig_29.region001,SpCNR510_GU_c29_001,pacifica,1,GCF3894,M2
SpCNR909_PL.contig_0.region003,SpCNR909_PL_c0_003,pacifica,1,GCF3894,M2
SpCNT131_FJ.contig_26.region001,SpCNT131_FJ_c26_001,pacifica,1,GCF4061,M2
SpCNT603_FJ.contig_13.region001,SpCNT603_FJ_c13_001,pacifica,1,GCF3894,M2
SpCNY363_SC.contig_30.region001,SpCNY363_SC_c30_001,pacifica,1,GCF3894,M2
SpDSM45544_FJ.contig_0.region008,SpDSM45544_FJ_c0_008,pacifica,1,GCF3894,M2
SpDSM45547_FJ.contig_0.region012,SpDSM45547_FJ_c0_012,oceanensis,1,GCF3933,M2
SpCNS996_FJ.contig_18.region001,SpCNS996_FJ_c18_001,oceanensis,1,GCF3933,M2
SpCNS801_FJ.contig_0.region001,SpCNS801_FJ_c0_001,vitiensis,1,GCF4061,M2
