Id	Label	clade	module	gcf.num	mod2gcf	bigscape.class	predicted.type
SaCNQ748_GU.contig_8.region001	SaCNQ748_GU_c8_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY486_PV.contig_7.region001	SaCNY486_PV_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNT849_HI.contig_7.region001	SaCNT849_HI_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH718_RS.contig_5.region001	SaCNH718_RS_c5_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNX814_PM.contig_5.region002	SaCNX814_PM_c5_002	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS848_FJ.contig_6.region001	SaCNS848_FJ_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpDSM45549_FJ.contig_0.region002	SpDSM45549_FJ_c0_002	mooreana	M0	GCF4222	M0_GCF4222	Others	indole
SaCNS342_FJ.contig_7.region001	SaCNS342_FJ_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY256_FJ.contig_9.region001	SaCNY256_FJ_c9_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS673_FJ.contig_5.region001	SaCNS673_FJ_c5_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY231_FJ.contig_4.region001	SaCNY231_FJ_c4_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY244_FJ.contig_0.region001	SaCNY244_FJ_c0_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNX481_PM.contig_3.region002	SaCNX481_PM_c3_002	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNT854_HI.contig_2.region002	SpCNT854_HI_c2_002	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SaCNH643_BA.contig_7.region001	SaCNH643_BA_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNY202_SC.contig_45.region001	SpCNY202_SC_c45_001	cortesiana	M0	GCF4222	M0_GCF4222	Others	indole
SaCNB458_BA.contig_5.region001	SaCNB458_BA_c5_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH963_SC.contig_7.region001	SaCNH963_SC_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY679_YU.contig_7.region001	SaCNY679_YU_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaDSM45545_FJ.contig_0.region005	SaDSM45545_FJ_c0_005	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH964_SC.contig_7.region001	SaCNH964_SC_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH877_BA.contig_6.region001	SaCNH877_BA_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH646_BA.contig_8.region001	SaCNH646_BA_c8_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY694_YU.contig_14.region001	SaCNY694_YU_c14_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNX891_PM.contig_5.region002	SaCNX891_PM_c5_002	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNT850_HI.contig_11.region001	SaCNT850_HI_c11_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNS860_FJ.contig_8.region001	SpCNS860_FJ_c8_001	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SaCNT005_FJ.contig_6.region001	SaCNT005_FJ_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY237_FJ.contig_3.region002	SaCNY237_FJ_c3_002	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY685_YU.contig_6.region001	SaCNY685_YU_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNR921_PL.contig_0.region004	SaCNR921_PL_c0_004	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNT799_HI.contig_11.region001	SaCNT799_HI_c11_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS051_PL.contig_4.region001	SaCNS051_PL_c4_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNP193_SC.contig_5.region001	SaCNP193_SC_c5_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpDSM45547_FJ.contig_0.region014	SpDSM45547_FJ_c0_014	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SaCNY234_FJ.contig_8.region001	SaCNY234_FJ_c8_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNT029_FJ.contig_0.region003	SpCNT029_FJ_c0_003	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SaCNP105_SC.contig_7.region001	SaCNP105_SC_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS325_PL.contig_7.region001	SaCNS325_PL_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY260_FJ.contig_10.region002	SaCNY260_FJ_c10_002	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH713_RS.contig_8.region001	SaCNH713_RS_c8_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH996_SC.contig_7.region001	SaCNH996_SC_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNH962_SC.contig_5.region001	SaCNH962_SC_c5_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNT798_HI.contig_6.region001	SaCNT798_HI_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNR425_GU.contig_7.region001	SaCNR425_GU_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNT857_HI.contig_11.region001	SaCNT857_HI_c11_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNY673_MD.contig_6.region001	SpCNY673_MD_c6_001	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SpCNT584_FJ.contig_1.region001	SpCNT584_FJ_c1_001	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SaCNH941_SC.contig_6.region001	SaCNH941_SC_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS243_PL.contig_6.region001	SaCNS243_PL_c6_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNY282_FJ.contig_7.region001	SaCNY282_FJ_c7_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNB527_BA.contig_2.region001	SaCNB527_BA_c2_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SpCNT124_FJ.contig_2.region002	SpCNT124_FJ_c2_002	oceanensis	M0	GCF4222	M0_GCF4222	Others	indole
SaCNQ884_GU.contig_16.region001	SaCNQ884_GU_c16_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNS744_FJ.contig_5.region001	SaCNS744_FJ_c5_001	arenicola	M0	GCF2045	M0_GCF2045	Others	indole
SaCNQ884_GU.contig_4.region002	SaCNQ884_GU_c4_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNP193_SC.contig_6.region002	SaCNP193_SC_c6_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH713_RS.contig_0.region002	SaCNH713_RS_c0_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNT798_HI.contig_4.region001	SaCNT798_HI_c4_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS848_FJ.contig_1.region002	SaCNS848_FJ_c1_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNP105_SC.contig_6.region001	SaCNP105_SC_c6_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY685_YU.contig_7.region001	SaCNY685_YU_c7_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNT857_HI.contig_5.region001	SaCNT857_HI_c5_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH905_BA.contig_2.region002	SaCNH905_BA_c2_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS051_PL.contig_2.region002	SaCNS051_PL_c2_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNB527_BA.contig_13.region001	SaCNB527_BA_c13_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY486_PV.contig_1.region001	SaCNY486_PV_c1_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH646_BA.contig_0.region002	SaCNH646_BA_c0_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH962_SC.contig_4.region001	SaCNH962_SC_c4_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH963_SC.contig_5.region002	SaCNH963_SC_c5_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY234_FJ.contig_2.region003	SaCNY234_FJ_c2_003	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNQ748_GU.contig_6.region002	SaCNQ748_GU_c6_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS673_FJ.contig_4.region002	SaCNS673_FJ_c4_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH718_RS.contig_2.region003	SaCNH718_RS_c2_003	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH643_BA.contig_1.region006	SaCNH643_BA_c1_006	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY260_FJ.contig_2.region004	SaCNY260_FJ_c2_004	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNR921_PL.contig_2.region002	SaCNR921_PL_c2_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNT800_HI.contig_1.region001	SaCNT800_HI_c1_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS205_PL.contig_0.region018	SaCNS205_PL_c0_018	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY244_FJ.contig_2.region004	SaCNY244_FJ_c2_004	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH996_SC.contig_1.region003	SaCNH996_SC_c1_003	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY690_YU.contig_2.region001	SaCNY690_YU_c2_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY280_FJ.contig_2.region002	SaCNY280_FJ_c2_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS299_PL.contig_0.region003	SaCNS299_PL_c0_003	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY679_YU.contig_6.region001	SaCNY679_YU_c6_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY230_FJ.contig_1.region003	SaCNY230_FJ_c1_003	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS296_PL.contig_6.region001	SaCNS296_PL_c6_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY256_FJ.contig_4.region002	SaCNY256_FJ_c4_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNB458_BA.contig_3.region002	SaCNB458_BA_c3_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS744_FJ.contig_2.region003	SaCNS744_FJ_c2_003	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS243_PL.contig_1.region004	SaCNS243_PL_c1_004	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNT005_FJ.contig_4.region001	SaCNT005_FJ_c4_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY694_YU.contig_2.region001	SaCNY694_YU_c2_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNR425_GU.contig_1.region003	SaCNR425_GU_c1_003	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNT850_HI.contig_9.region001	SaCNT850_HI_c9_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS342_FJ.contig_2.region003	SaCNS342_FJ_c2_003	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY282_FJ.contig_2.region002	SaCNY282_FJ_c2_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNT849_HI.contig_4.region002	SaCNT849_HI_c4_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNT799_HI.contig_8.region001	SaCNT799_HI_c8_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH877_BA.contig_4.region002	SaCNH877_BA_c4_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS325_PL.contig_4.region001	SaCNS325_PL_c4_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY237_FJ.contig_1.region002	SaCNY237_FJ_c1_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaDSM45545_FJ.contig_0.region011	SaDSM45545_FJ_c0_011	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY011_BA.contig_7.region001	SaCNY011_BA_c7_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNS820_FJ.contig_0.region004	SaCNS820_FJ_c0_004	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNT859_HI.contig_2.region002	SaCNT859_HI_c2_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNR107_GU.contig_2.region006	SaCNR107_GU_c2_006	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNY231_FJ.contig_3.region002	SaCNY231_FJ_c3_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH941_SC.contig_7.region002	SaCNH941_SC_c7_002	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH964_SC.contig_6.region001	SaCNH964_SC_c6_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH996B_SC.contig_1.region001	SaCNH996B_SC_c1_001	arenicola	M1	GCF2047	M1_GCF2047	Others	siderophore
SaCNH643_BA.contig_24.region001	SaCNH643_BA_c24_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNX891_PM.contig_18.region001	SaCNX891_PM_c18_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNY282_FJ.contig_19.region001	SaCNY282_FJ_c19_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNP105_SC.contig_28.region001	SaCNP105_SC_c28_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNS820_FJ.contig_13.region001	SaCNS820_FJ_c13_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNR510_GU.contig_7.region001	SpCNR510_GU_c7_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNS051_PL.contig_29.region001	SaCNS051_PL_c29_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNT855_HI.contig_4.region001	SpCNT855_HI_c4_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNS103_PL.contig_8.region001	SpCNS103_PL_c8_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
StCNB536_BA.contig_7.region001	StCNB536_BA_c7_001	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SpCNS801_FJ.contig_1.region001	SpCNS801_FJ_c1_001	vitiensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNB527_BA.contig_14.region001	SaCNB527_BA_c14_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNS673_FJ.contig_18.region001	SaCNS673_FJ_c18_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNT084_FJ.contig_10.region001	SpCNT084_FJ_c10_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNY231_FJ.contig_21.region001	SaCNY231_FJ_c21_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNY646_RS.contig_1.region001	SpCNY646_RS_c1_001	mooreana	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNY331_SC.contig_8.region001	SpCNY331_SC_c8_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNY498_PV.contig_9.region001	SpCNY498_PV_c9_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNS342_FJ.contig_24.region001	SaCNS342_FJ_c24_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNT124_FJ.contig_32.region001	SpCNT124_FJ_c32_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNR921_PL.contig_9.region001	SaCNR921_PL_c9_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNT584_FJ.contig_50.region001	SpCNT584_FJ_c50_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNS860_FJ.contig_10.region001	SpCNS860_FJ_c10_001	oceanensis	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
StCNB440_BA.contig_0.region016	StCNB440_BA_c0_016	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SaCNQ748_GU.contig_14.region001	SaCNQ748_GU_c14_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNY703_MD.contig_15.region001	SpCNY703_MD_c15_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNY256_FJ.contig_14.region001	SaCNY256_FJ_c14_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SpCNT603_FJ.contig_8.region001	SpCNT603_FJ_c8_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNR425_GU.contig_16.region001	SaCNR425_GU_c16_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNS205_PL.contig_0.region025	SaCNS205_PL_c0_025	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNH996B_SC.contig_63.region001	SaCNH996B_SC_c63_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNY486_PV.contig_44.region001	SaCNY486_PV_c44_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SpDSM45548_FJ.contig_1.region009	SpDSM45548_FJ_c1_009	vitiensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNT131_FJ.contig_2.region002	SpCNT131_FJ_c2_002	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
StCNH898_BA.contig_8.region001	StCNH898_BA_c8_001	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SpCNS237_PL.contig_1.region002	SpCNS237_PL_c1_002	mooreana	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNR107_GU.contig_7.region001	SaCNR107_GU_c7_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SpCNY673_MD.contig_10.region001	SpCNY673_MD_c10_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNH718_RS.contig_22.region001	SaCNH718_RS_c22_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SpCNS996_FJ.contig_12.region001	SpCNS996_FJ_c12_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
StCNY681_YU.contig_9.region001	StCNY681_YU_c9_001	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SpCNY202_SC.contig_5.region001	SpCNY202_SC_c5_001	cortesiana	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNH905_BA.contig_21.region001	SaCNH905_BA_c21_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaDSM45545_FJ.contig_0.region018	SaDSM45545_FJ_c0_018	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
StCNS416_BA.contig_0.region001	StCNS416_BA_c0_001	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SpCNT403_FJ.contig_9.region001	SpCNT403_FJ_c9_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
StCNB476_BA.contig_8.region001	StCNB476_BA_c8_001	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SaCNY244_FJ.contig_12.region001	SaCNY244_FJ_c12_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNY330_SC.contig_5.region001	SpCNY330_SC_c5_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNY363_SC.contig_4.region001	SpCNY363_SC_c4_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNT796_HI.contig_6.region001	SpCNT796_HI_c6_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNB458_BA.contig_19.region001	SaCNB458_BA_c19_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNY234_FJ.contig_15.region001	SaCNY234_FJ_c15_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNT800_HI.contig_23.region001	SaCNT800_HI_c23_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNX814_PM.contig_14.region001	SaCNX814_PM_c14_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNS744_FJ.contig_25.region001	SaCNS744_FJ_c25_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNT005_FJ.contig_29.region001	SaCNT005_FJ_c29_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNS299_PL.contig_26.region001	SaCNS299_PL_c26_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNY694_YU.contig_28.region001	SaCNY694_YU_c28_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNT857_HI.contig_10.region001	SaCNT857_HI_c10_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNH646_BA.contig_23.region001	SaCNH646_BA_c23_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SaCNY011_BA.contig_28.region001	SaCNY011_BA_c28_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SaCNY280_FJ.contig_27.region001	SaCNY280_FJ_c27_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SpCNT029_FJ.contig_2.region001	SpCNT029_FJ_c2_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
StCNT261_BA.contig_15.region001	StCNT261_BA_c15_001	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SaCNH962_SC.contig_50.region001	SaCNH962_SC_c50_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNY666_MD.contig_8.region001	SpCNY666_MD_c8_001	goodfellowii	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNT854_HI.contig_56.region001	SpCNT854_HI_c56_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNQ768_GU.contig_12.region001	SpCNQ768_GU_c12_001	pacifica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
StCNS197_BA.contig_5.region001	StCNS197_BA_c5_001	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SpCNS055_PL.contig_5.region001	SpCNS055_PL_c5_001	vitiensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNR894_PL.contig_8.region001	SpCNR894_PL_c8_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNT045_FJ.contig_12.region001	SpCNT045_FJ_c12_001	oceanensis	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SaCNH877_BA.contig_28.region001	SaCNH877_BA_c28_001	arenicola	M10	GCF3070	M10_GCF3070	PKSother	T3PKS
SpDSM45544_FJ.contig_0.region016	SpDSM45544_FJ_c0_016	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
StCNR699_BA.contig_13.region001	StCNR699_BA_c13_001	tropica	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SaCNT799_HI.contig_29.region001	SaCNT799_HI_c29_001	arenicola	M10	GCF3040	M10_GCF3040	PKSother	T3PKS
SpCNT569_FJ.contig_9.region001	SpCNT569_FJ_c9_001	fenicalii	M10	GCF4607	M10_GCF4607	PKSother	T3PKS
SpCNY239_FJ.contig_8.region001	SpCNY239_FJ_c8_001	pacifica	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
SpCNR942_PL.contig_2.region001	SpCNR942_PL_c2_001	fenicalii	M10	GCF3564	M10_GCF3564	PKSother	T3PKS
