"Id","Label","clade","size","GCF.num"
"SaCNH905_BA.contig_1.region001","SaCNH905_BA_c1_001","arenicola","1","GCF2414"
"SaCNH905_BA.contig_1.region002","SaCNH905_BA_c1_002","arenicola","1","GCF3439"
"SaCNH905_BA.contig_10.region001","SaCNH905_BA_c10_001","arenicola","1","GCF2042"
"SaCNH905_BA.contig_11.region001","SaCNH905_BA_c11_001","arenicola","1","GCF1995"
"SaCNH905_BA.contig_11.region002","SaCNH905_BA_c11_002","arenicola","1","GCF2027"
"SaCNH905_BA.contig_12.region001","SaCNH905_BA_c12_001","arenicola","1","GCF2022"
"SaCNH905_BA.contig_15.region001","SaCNH905_BA_c15_001","arenicola","1","GCF2031"
"SaCNH905_BA.contig_16.region001","SaCNH905_BA_c16_001","arenicola","1","GCF3313"
"SaCNH905_BA.contig_16.region002","SaCNH905_BA_c16_002","arenicola","1","GCF2030"
"SaCNH905_BA.contig_2.region001","SaCNH905_BA_c2_001","arenicola","1","GCF2046"
"SaCNH905_BA.contig_2.region002","SaCNH905_BA_c2_002","arenicola","1","GCF2047"
"SaCNH905_BA.contig_20.region001","SaCNH905_BA_c20_001","arenicola","1","GCF2030"
"SaCNH905_BA.contig_21.region001","SaCNH905_BA_c21_001","arenicola","1","GCF3070"
"SaCNH905_BA.contig_22.region001","SaCNH905_BA_c22_001","arenicola","1","GCF2547"
"SaCNH905_BA.contig_23.region001","SaCNH905_BA_c23_001","arenicola","1","GCF2025"
"SaCNH905_BA.contig_25.region001","SaCNH905_BA_c25_001","arenicola","1","GCF4061"
"SaCNH905_BA.contig_3.region001","SaCNH905_BA_c3_001","arenicola","1","GCF3059"
"SaCNH905_BA.contig_30.region001","SaCNH905_BA_c30_001","arenicola","1","GCF2040"
"SaCNH905_BA.contig_34.region001","SaCNH905_BA_c34_001","arenicola","1","GCF2010"
"SaCNH905_BA.contig_36.region001","SaCNH905_BA_c36_001","arenicola","1","GCF2038"
"SaCNH905_BA.contig_42.region001","SaCNH905_BA_c42_001","arenicola","1","GCF2012"
"SaCNH905_BA.contig_45.region001","SaCNH905_BA_c45_001","arenicola","1","GCF2943"
"SaCNH905_BA.contig_48.region001","SaCNH905_BA_c48_001","arenicola","1","GCF2014"
"SaCNH905_BA.contig_49.region001","SaCNH905_BA_c49_001","arenicola","1","GCF2044"
"SaCNH905_BA.contig_5.region001","SaCNH905_BA_c5_001","arenicola","1","GCF1915"
"SaCNH905_BA.contig_61.region001","SaCNH905_BA_c61_001","arenicola","1","GCF4017"
"SaCNH905_BA.contig_7.region001","SaCNH905_BA_c7_001","arenicola","1","GCF2045"
"SaCNH941_SC.contig_1.region001","SaCNH941_SC_c1_001","arenicola","1","GCF2547"
"SaCNH941_SC.contig_10.region001","SaCNH941_SC_c10_001","arenicola","1","GCF2557"
"SaCNH941_SC.contig_10.region002","SaCNH941_SC_c10_002","arenicola","1","GCF2165"
"SaCNH941_SC.contig_11.region001","SaCNH941_SC_c11_001","arenicola","1","GCF2022"
"SaCNH941_SC.contig_11.region002","SaCNH941_SC_c11_002","arenicola","1","GCF2023"
"SaCNH941_SC.contig_15.region001","SaCNH941_SC_c15_001","arenicola","1","GCF2423"
"SaCNH941_SC.contig_16.region001","SaCNH941_SC_c16_001","arenicola","1","GCF2025"
"SaCNH941_SC.contig_16.region002","SaCNH941_SC_c16_002","arenicola","1","GCF4600"
"SaCNH941_SC.contig_18.region001","SaCNH941_SC_c18_001","arenicola","1","GCF2027"
"SaCNH941_SC.contig_19.region001","SaCNH941_SC_c19_001","arenicola","1","GCF2028"
"SaCNH941_SC.contig_2.region001","SaCNH941_SC_c2_001","arenicola","1","GCF2172"
"SaCNH941_SC.contig_2.region002","SaCNH941_SC_c2_002","arenicola","1","GCF2030"
"SaCNH941_SC.contig_2.region003","SaCNH941_SC_c2_003","arenicola","1","GCF2031"
"SaCNH941_SC.contig_20.region001","SaCNH941_SC_c20_001","arenicola","1","GCF4605"
"SaCNH941_SC.contig_22.region001","SaCNH941_SC_c22_001","arenicola","1","GCF3059"
"SaCNH941_SC.contig_27.region001","SaCNH941_SC_c27_001","arenicola","1","GCF2034"
"SaCNH941_SC.contig_28.region001","SaCNH941_SC_c28_001","arenicola","1","GCF3070"
"SaCNH941_SC.contig_3.region001","SaCNH941_SC_c3_001","arenicola","1","GCF2428"
"SaCNH941_SC.contig_3.region002","SaCNH941_SC_c3_002","arenicola","1","GCF2939"
"SaCNH941_SC.contig_31.region001","SaCNH941_SC_c31_001","arenicola","1","GCF2038"
"SaCNH941_SC.contig_34.region001","SaCNH941_SC_c34_001","arenicola","1","GCF2890"
"SaCNH941_SC.contig_35.region001","SaCNH941_SC_c35_001","arenicola","1","GCF2040"
"SaCNH941_SC.contig_39.region001","SaCNH941_SC_c39_001","arenicola","1","GCF3248"
"SaCNH941_SC.contig_4.region001","SaCNH941_SC_c4_001","arenicola","1","GCF2042"
"SaCNH941_SC.contig_43.region001","SaCNH941_SC_c43_001","arenicola","1","GCF2769"
"SaCNH941_SC.contig_48.region001","SaCNH941_SC_c48_001","arenicola","1","GCF2044"
"SaCNH941_SC.contig_6.region001","SaCNH941_SC_c6_001","arenicola","1","GCF2045"
"SaCNH941_SC.contig_7.region001","SaCNH941_SC_c7_001","arenicola","1","GCF2046"
"SaCNH941_SC.contig_7.region002","SaCNH941_SC_c7_002","arenicola","1","GCF2047"
"SaCNH962_SC.contig_1.region001","SaCNH962_SC_c1_001","arenicola","1","GCF2414"
"SaCNH962_SC.contig_10.region001","SaCNH962_SC_c10_001","arenicola","1","GCF2042"
"SaCNH962_SC.contig_14.region001","SaCNH962_SC_c14_001","arenicola","1","GCF1937"
"SaCNH962_SC.contig_14.region002","SaCNH962_SC_c14_002","arenicola","1","GCF2172"
"SaCNH962_SC.contig_17.region001","SaCNH962_SC_c17_001","arenicola","1","GCF1429"
"SaCNH962_SC.contig_17.region002","SaCNH962_SC_c17_002","arenicola","1","GCF3069"
"SaCNH962_SC.contig_21.region001","SaCNH962_SC_c21_001","arenicola","1","GCF1958"
"SaCNH962_SC.contig_22.region001","SaCNH962_SC_c22_001","arenicola","1","GCF2428"
"SaCNH962_SC.contig_25.region001","SaCNH962_SC_c25_001","arenicola","1","GCF2557"
"SaCNH962_SC.contig_25.region002","SaCNH962_SC_c25_002","arenicola","1","GCF2165"
"SaCNH962_SC.contig_28.region001","SaCNH962_SC_c28_001","arenicola","1","GCF2025"
"SaCNH962_SC.contig_3.region001","SaCNH962_SC_c3_001","arenicola","1","GCF2547"
"SaCNH962_SC.contig_30.region001","SaCNH962_SC_c30_001","arenicola","1","GCF2010"
"SaCNH962_SC.contig_36.region001","SaCNH962_SC_c36_001","arenicola","1","GCF1958"
