Parameter	Posterior Mean	Posterior Variance	a_post	b_post
SaCNH964_SC	6.8161e-05	2.32482e-09	1.9984	29318.8
SpCNT124_FJ	0.000975783	3.34166e-08	28.4934	29200.5
SpCNS860_FJ	0.00077994	2.7153e-08	22.4029	28723.8
SaCNY234_FJ	0.000334116	1.14e-08	9.79241	29308.4
SaCNH643_BA	0.000102215	3.48634e-09	2.99681	29318.7
SaCNH713_RS	0.00182644	6.23566e-08	53.4967	29290.2
SpCNT403_FJ	0.00221469	7.70272e-08	63.6769	28752
SaCNS342_FJ	0.00061498	2.10445e-08	17.9715	29222.8
SpCNT029_FJ	0.0012013	4.10992e-08	35.1134	29229.4
SaCNY690_YU	0.00103207	3.53321e-08	30.1471	29210.4
SaCNS205_PL	0.000832789	2.85167e-08	24.3204	29203.6
SaCNT859_HI	6.81628e-05	2.32488e-09	1.99845	29318.8
NODE_78	0.00216041	7.96369e-08	58.6082	27128.3
NODE_79	0.00141333	4.99179e-08	40.0155	28313
NODE_80	0.00159329	5.43824e-08	46.6798	29297.8
NODE_81	0.00184717	6.35587e-08	53.6832	29062.4
NODE_82	0.000769022	2.6257e-08	22.5233	29288.2
NODE_83	0.000492381	1.71814e-08	14.1106	28657.8
NODE_84	0.00328333	1.2464e-07	86.4914	26342.6
NODE_85	0.000526322	4.01297e-08	6.90299	13115.5
NODE_86	0.00397366	1.40918e-07	112.051	28198.4
NODE_87	0.00425877	1.79409e-07	101.094	23737.8
NODE_88	9.79083e-05	8.71924e-09	1.09941	11229
NODE_89	0.00257385	8.80624e-08	75.2273	29227.6
NODE_90	8.52573e-05	7.06637e-09	1.02865	12065.2
NODE_91	0.00330245	1.28945e-07	84.5802	25611.4
NODE_92	8.85252e-05	7.81421e-09	1.00288	11328.7
NODE_93	0.000170327	5.80956e-09	4.99373	29318.4
NODE_94	0.00108181	3.71088e-08	31.5374	29152.4
NODE_95	0.00076286	2.61449e-08	22.2589	29178.2
NODE_96	0.00410207	1.704e-07	98.7502	24073.2
NODE_97	0.00553703	2.00502e-07	152.91	27615.8
NODE_98	0.00036988	1.30666e-08	10.4703	28307.3
NODE_99	0.000170326	5.80953e-09	4.9937	29318.4
NODE_100	0.000168564	5.95505e-09	4.7714	28306.1
NODE_101	0.00258715	9.009e-08	74.2963	28717.4
NODE_102	0.000169707	5.78875e-09	4.97526	29316.7
NODE_103	0.00013627	4.64789e-09	3.99523	29318.6
NODE_104	0.00228671	7.9684e-08	65.6224	28697.3
NODE_105	0.000764208	2.61053e-08	22.3715	29274.1
NODE_106	0.000538282	1.83659e-08	15.7764	29308.8
NODE_107	0.000204384	6.97119e-09	5.99218	29318.3
NODE_108	6.85235e-05	2.34829e-09	1.99953	29180.2
NODE_110	0.000203432	6.93927e-09	5.9638	29316
NODE_111	0.000348162	1.19387e-08	10.1532	29162.4
NODE_112	0.00010221	3.48618e-09	2.99666	29318.7
NODE_113	0.000542266	1.84989e-08	15.8957	29313.5
NODE_114	0.000271035	9.24558e-09	7.94541	29315.1
NODE_115	0.000465265	1.58762e-08	13.635	29305.8
NODE_116	0.0014996	5.13133e-08	43.8247	29224.3
NODE_117	0.0013384	4.59881e-08	38.9518	29103.2
NODE_118	0.000238412	8.13193e-09	6.98978	29318
NODE_119	0.000877441	3.01788e-08	25.5113	29074.7
NODE_120	0.000139184	4.76049e-09	4.06934	29237.2
NODE_121	0.000168817	5.75867e-09	4.94889	29315.2
NODE_122	6.8163e-05	2.32489e-09	1.99846	29318.8
NODE_123	0.0010796	3.73732e-08	31.1867	28887.1
NODE_124	0.000328482	1.1211e-08	9.62457	29300.1
NODE_125	0.000203834	6.95278e-09	5.9758	29316.9
NODE_126	0.000224565	7.96634e-09	6.33032	28189.2
NODE_127	0.000102219	3.48648e-09	2.99693	29318.7
NODE_128	0.000238216	8.12536e-09	6.9839	29317.5
NODE_129	0.000510544	1.7415e-08	14.9672	29316.3
NODE_130	0.000620329	2.12867e-08	18.0774	29141.7
NODE_131	0.000297202	1.01402e-08	8.71075	29309.2
NODE_132	0.000332349	1.14329e-08	9.66123	29069.5
NODE_133	0.000405167	1.38221e-08	11.8766	29312.9
NODE_134	0.000272496	9.2945e-09	7.98906	29318
NODE_135	0.000281317	9.69796e-09	8.16038	29007.8
NODE_136	0.000469683	1.60248e-08	13.7662	29309.7
NODE_137	0.0004134	1.41499e-08	12.0778	29215.8
NODE_138	0.000238436	8.1327e-09	6.9905	29318.2
NODE_139	0.000333112	1.1365e-08	9.76367	29310.5
NODE_140	0.000272492	9.29434e-09	7.98892	29318
NODE_141	0.000238051	8.11985e-09	6.97896	29317.1
NODE_142	0.000203235	6.93245e-09	5.95816	29316.5
NODE_143	0.000238403	8.13161e-09	6.98949	29318
NODE_144	0.000170263	5.80741e-09	4.9918	29318.2
NODE_145	0.000302499	1.03505e-08	8.84071	29225.6
NODE_146	0.00022668	7.7346e-09	6.64337	29307.3
NODE_147	0.000229027	7.81439e-09	6.7124	29308.4
NODE_148	0.000201404	6.87077e-09	5.90377	29313.1
NODE_149	0.000169684	5.78795e-09	4.9746	29316.8
NODE_150	0.00013513	4.60931e-09	3.9616	29316.8
NODE_151	0.000442522	1.50946e-08	12.9733	29316.6
